	0	1
0	8733637@N04	52193674@N05
1	8733637@N04	144142799@N04
2	8733637@N04	131372462@N07
3	8733637@N04	28186242@N08
4	8733637@N04	68943220@N08
5	8733637@N04	23353282@N05
6	8733637@N04	98993016@N06
7	8733637@N04	39944627@N02
8	8733637@N04	84715792@N02
9	8733637@N04	89455531@N00
10	8733637@N04	33031095@N03
11	8733637@N04	60579597@N06
12	8733637@N04	22087304@N07
13	8733637@N04	62953229@N03
14	8733637@N04	97060268@N07
15	8733637@N04	139014052@N05
16	8733637@N04	146104275@N06
17	8733637@N04	155752720@N04
18	8733637@N04	134751177@N08
19	8733637@N04	32569229@N06
20	8733637@N04	123149167@N06
21	8733637@N04	142467017@N02
22	8733637@N04	41659357@N07
23	8733637@N04	82255010@N07
24	8733637@N04	79325669@N05
25	8733637@N04	23672491@N05
26	8733637@N04	130542797@N07
27	8733637@N04	134360779@N04
28	8733637@N04	40808950@N08
29	8733637@N04	67492399@N00
30	8733637@N04	79989496@N05
31	8733637@N04	138173068@N06
32	8733637@N04	59371508@N07
33	8733637@N04	14565347@N02
34	8733637@N04	99464713@N06
35	8733637@N04	28291883@N03
36	8733637@N04	44557742@N00
37	8733637@N04	9302846@N04
38	8733637@N04	42852999@N04
39	8733637@N04	86584394@N03
40	8733637@N04	94536855@N02
41	8733637@N04	8074364@N07
42	8733637@N04	93717351@N02
43	8733637@N04	47009524@N04
44	8733637@N04	126818939@N06
45	8733637@N04	89314861@N02
46	8733637@N04	54865206@N04
47	8733637@N04	40482212@N07
48	8733637@N04	71672647@N07
49	8733637@N04	134079642@N07
50	8733637@N04	131630512@N04
51	8733637@N04	32132568@N06
52	8733637@N04	57566960@N07
53	8733637@N04	7944452@N08
54	8733637@N04	156072894@N06
55	8733637@N04	44273763@N02
56	8733637@N04	42220073@N04
57	8733637@N04	126334529@N05
58	8733637@N04	46218712@N03
59	8733637@N04	136034310@N05
60	8733637@N04	143029396@N06
61	8733637@N04	31783087@N05
62	8733637@N04	81035653@N00
63	8733637@N04	52345709@N02
64	8733637@N04	125118205@N08
65	8733637@N04	135675922@N07
66	8733637@N04	89550620@N07
67	8733637@N04	59341311@N03
68	8733637@N04	77057800@N08
69	8733637@N04	102474837@N03
70	8733637@N04	27283505@N07
71	8733637@N04	46644449@N02
72	8733637@N04	27379690@N00
73	8733637@N04	65005481@N06
74	8733637@N04	145573835@N05
75	8733637@N04	64036262@N04
76	8733637@N04	129565102@N03
77	8733637@N04	141443760@N06
78	8733637@N04	96261399@N06
79	8733637@N04	55573682@N07
80	8733637@N04	15186074@N00
81	8733637@N04	166289393@N02
82	8733637@N04	89532102@N00
83	8733637@N04	109742459@N08
84	8733637@N04	10862319@N06
85	8733637@N04	63840098@N06
86	8733637@N04	94190435@N07
87	8733637@N04	131505859@N06
88	8733637@N04	155351341@N05
89	8733637@N04	7833424@N02
90	8733637@N04	12421130@N04
91	8733637@N04	152930510@N02
92	8733637@N04	50161052@N05
93	8733637@N04	130058088@N08
94	8733637@N04	8543246@N04
95	8733637@N04	140425585@N04
96	8733637@N04	148875646@N08
97	8733637@N04	163825206@N03
98	8733637@N04	126805728@N05
99	8733637@N04	131509665@N06
100	8733637@N04	77492252@N05
101	8733637@N04	42057291@N00
102	8733637@N04	9563354@N04
103	8733637@N04	100771760@N05
104	8733637@N04	97202111@N03
105	8733637@N04	13174103@N07
106	8733637@N04	65635049@N08
107	8733637@N04	33230154@N08
108	8733637@N04	127490380@N05
109	8733637@N04	47743806@N06
110	8733637@N04	11773838@N02
111	8733637@N04	193271375@N02
112	8733637@N04	46296121@N05
113	8733637@N04	74411818@N00
114	8733637@N04	32959905@N08
115	8733637@N04	121581658@N03
116	8733637@N04	77763831@N05
117	8733637@N04	137236531@N03
118	8733637@N04	32131944@N00
119	8733637@N04	8980780@N07
120	8733637@N04	93043025@N06
121	8733637@N04	58239500@N00
122	8733637@N04	42204650@N03
123	8733637@N04	93796665@N03
124	8733637@N04	22057219@N05
125	8733637@N04	27978006@N04
126	8733637@N04	36908632@N00
127	8733637@N04	36973576@N08
128	8733637@N04	23083251@N05
129	8733637@N04	97615785@N05
130	8733637@N04	89808526@N00
131	8733637@N04	64046612@N08
132	8733637@N04	82485953@N00
133	8733637@N04	52362783@N00
134	8733637@N04	48364370@N08
