	Source	Target	inside
57	8733637@N04	126334529@N05	True
113	8733637@N04	74411818@N00	True
161	8733637@N04	23363966@N02	True
315	8733637@N04	93388157@N07	True
316	8733637@N04	105105658@N03	True
344	8733637@N04	62068535@N08	True
364	8733637@N04	29280372@N08	True
453	150614452@N05	93388157@N07	True
464	150614452@N05	137342563@N03	True
1210	22824091@N08	69663264@N03	True
1282	29280372@N08	66296731@N07	True
1292	29280372@N08	64941417@N03	True
1299	29280372@N08	29780762@N07	True
1332	29280372@N08	52187935@N08	True
1339	29280372@N08	131021490@N02	True
1349	29280372@N08	11087887@N03	True
1450	133404195@N07	66296731@N07	True
1456	133404195@N07	117679407@N08	True
1463	133404195@N07	192219525@N04	True
1508	133404195@N07	69506664@N06	True
1525	133404195@N07	131021490@N02	True
1562	133404195@N07	29280372@N08	True
1821	34476863@N00	29780762@N07	True
1983	34476863@N00	32528180@N00	True
2070	34476863@N00	23286095@N05	True
2612	47568542@N03	69663264@N03	True
2683	193496828@N05	107735426@N07	True
2754	138004730@N03	96667746@N04	True
2965	138004730@N03	9764147@N02	True
3598	138004730@N03	105105658@N03	True
3611	138004730@N03	126038549@N06	True
3792	149392270@N02	9764147@N02	True
4197	10024035@N00	147135779@N02	True
4284	10024035@N00	23286095@N05	True
4619	64941417@N03	74411818@N00	True
5373	140378231@N02	138004730@N03	True
5959	91244219@N06	69663264@N03	True
6122	42949625@N05	36350804@N02	True
6127	42949625@N05	126334529@N05	True
6198	42949625@N05	8154764@N03	True
6258	42949625@N05	7132768@N03	True
6330	42949625@N05	61190890@N06	True
6388	42949625@N05	38712633@N04	True
6408	42949625@N05	154547444@N06	True
6442	42949625@N05	58625702@N07	True
6540	42949625@N05	39906815@N05	True
6544	42949625@N05	189387901@N05	True
6569	42949625@N05	11087887@N03	True
6588	42949625@N05	93388157@N07	True
6690	42949625@N05	29280372@N08	True
6747	42949625@N05	69841044@N02	True
6752	42949625@N05	137342563@N03	True
6786	192283700@N08	93388157@N07	True
7038	84538934@N00	104736837@N03	True
7092	84538934@N00	29780762@N07	True
7147	84538934@N00	57128711@N00	True
