	Source	Target	Group_Name	18+	Members	Pool_Counts
0	8733637@N04	1470872@N20	!! Fryslân Heitelân/Homeland !!	0	81	2452
1	8733637@N04	589125@N23	!! Nederland Vandaag !!	0	3218	259304
2	8733637@N04	916646@N20	!!Modern architecture	0	3544	115513
3	8733637@N04	730493@N21	&quot;Holland's BEST nightshots&quot;	0	212	5462
4	8733637@N04	1739915@N25	&quot;Honda Motor Vehicle&quot;	0	336	5433
5	8733637@N04	14690427@N25	&quot;The Cars of BMC. The British Motor Corporation 1952 &gt; 1968&quot;	0	51	3569
6	8733637@N04	382691@N22	&quot;trams in amsterdam&quot;	0	193	16561
7	8733637@N04	1221792@N22	&quot;transport of the uk and europe&quot;	0	752	514232
8	8733637@N04	615270@N22	&quot;Unlimited Photos: No Rules&quot;	0	32765	6841974
9	8733637@N04	1344107@N22	&quot;We Love Buses and Coaches&quot;	0	813	502430
10	8733637@N04	14762893@N25	#1 Vehicles spotted in 2022	0	14	595
11	8733637@N04	2902116@N23	#CARS	0	480	358701
12	8733637@N04	25153499@N00	't Gooi en Omstreken	0	100	3696
13	8733637@N04	2528348@N24	Thursday Doors Day	0	108	4483
14	8733637@N04	2756563@N25	(MONDE) Bus et Trolleybus	0	181	52848
15	8733637@N04	1640051@N23	* Alfa Bertone Coupé: Giulia GT Sprint, GTV and GT Junior *	0	549	6583
16	8733637@N04	26328425@N00	* CityScapes &amp; City Life	0	28877	1006332
17	8733637@N04	2783196@N23	* Trains ~ all Trains ~ only Trains → Please join us...(p1~a1)	0	215	104026
18	8733637@N04	2740667@N20	** Only Ford _ No 30 / 60 Group Restriction !	0	590	86436
19	8733637@N04	2645190@N24	**German cars worldwide _  No 30 / 60 Group Restriction !	0	853	187252
20	8733637@N04	2764072@N20	**Only Trains _ No 30 / 60 Group restriction !	0	2113	736376
21	8733637@N04	2706741@N21	**VW Beetle And Derivatives _ No 30 / 60 Group Restriction !	0	345	25177
22	8733637@N04	1865154@N22	*Auto British*	0	326	57131
23	8733637@N04	1721830@N20	*Auto Retro*	0	2188	251996
24	8733637@N04	73061274@N00	*Car number plates*	0	213	16422
25	8733637@N04	1533206@N24	*FRENCH CARS DESIGN*	0	337	75010
26	8733637@N04	949745@N24	*Gent*Ghent*Gand*Gante* &gt; Beautiful city of Belgium	0	672	7722
27	8733637@N04	2150933@N20	*German classic cars*	0	164	26054
28	8733637@N04	1916209@N21	*Italian Cars*	0	333	29147
29	8733637@N04	2229986@N22	*Italian classics cars*	0	135	15417
30	8733637@N04	76732248@N00	*Nederland belicht*	0	4452	347237
31	8733637@N04	2976730@N24	*Total Volvo (opted out 30/60 group rule)	0	56	4531
32	8733637@N04	1838044@N24	*US Cars*	0	247	32934
33	8733637@N04	2135376@N22	+ Railway Unlimited	0	1609	707880
34	8733637@N04	2689504@N25	+All Locomotives of the World	0	1322	140074
35	8733637@N04	2768178@N23	+Railways of Europe	0	1590	324674
36	8733637@N04	1662644@N23	-buses- and trains-	0	183	107867
37	8733637@N04	289364@N25	-Ferrari-	0	71	3830
38	8733637@N04	1679002@N22	-Opel cars-	0	263	14271
39	8733637@N04	1619196@N22	...France mon amour...	0	260	11471
40	8733637@N04	2195897@N23	.Ferrari.	0	94	3532
41	8733637@N04	654452@N21	///AMG	0	1462	6863
42	8733637@N04	11118139@N00	/8	0	176	1580
43	8733637@N04	24772180@N00	1 day we'll have the most photos on Flickr	0	5167	2680707
44	8733637@N04	1924011@N24	1 Million Ford Photos	0	417	61267
45	8733637@N04	59922904@N00	1,000,000 Car Photos	0	12825	1801634
46	8733637@N04	1853090@N23	1,000,000 Locomotives	0	1140	300323
47	8733637@N04	721428@N23	1,000,000 TRAINS	0	3459	1243778
48	8733637@N04	644861@N24	1,000,000 Truck Pictures	0	939	410574
49	8733637@N04	1639164@N23	1.000.000 Trains in Europe	0	2305	824839
50	8733637@N04	3467889@N20	100 Million Car Pictures	0	65	125459
51	8733637@N04	899189@N24	100.000.000 Flickr Photos	0	3318	1375350
52	8733637@N04	1949967@N21	1885 - 1990 Vintage &amp; Classic European Vehicles	0	223	36859
53	8733637@N04	1872394@N24	1920 - 90 Vintage &amp; Classic Japanese Vehicles	0	191	9919
54	8733637@N04	323384@N24	240 Volvo	0	429	5314
55	8733637@N04	16918724@N00	2CV	0	1323	19503
