	origin	index	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	2	51885929339	Criteria iv	Criteria iii	Criteria ii	0.280557632446289	0.8138326406478882	Criteria iv	Criteria ii	Criteria vi	0.5316828	0.8778782	True	0.5	0.8052157268816114
1	3	51884357517	Criteria iii	Criteria iv	Criteria ii	0.4413055181503296	0.7791172116994858	Criteria iv	Criteria iii	Criteria vi	0.5092361	0.74240226	False	0.5	0.6702581136528806
2	8	51883860957	Criteria iv	Criteria vi	Criteria ii	0.228606641292572	0.5601989030838013	Criteria i	Criteria iv	Criteria iii	0.28907925	0.68732387	False	0.2	0.8582576062571882
3	9	51884423594	Criteria ii	Criteria iv	Criteria iii	0.4014892578125	0.7875237166881561	Criteria iv	Criteria vi	Criteria ii	0.47003624	0.846035	False	0.5	0.705522305145079
4	13	51882154188	Criteria iii	Criteria iv	Criteria vi	0.3042992055416107	0.7300161868333817	Criteria iv	Criteria vi	Criteria ii	0.44050112	0.8297111	False	0.5	0.7761643599923601
5	14	51882079916	Criteria iv	Criteria ii	Criteria iii	0.3372431099414825	0.69707390666008	Criteria vi	Criteria i	Criteria iv	0.2893868	0.69580764	False	0.2	0.7391599694344433
6	15	51882398439	Criteria ii	Criteria iv	Criteria vi	0.2449060678482055	0.6816840320825577	Criteria i	Criteria iv	Criteria ii	0.3165311	0.7275478	False	0.5	0.8170159471461694
7	16	51882396944	Criteria ii	Criteria iv	Criteria vi	0.2449060678482055	0.6816840320825577	Criteria i	Criteria iv	Criteria ii	0.3165311	0.7275478	False	0.5	0.8170159471461694
8	17	51882056851	Criteria iv	Criteria ii	Criteria i	0.4133022725582123	0.8347099870443344	Criteria iv	Criteria i	Criteria vi	0.42824697	0.8109645	True	0.5	0.9378642614752845
9	18	51881082342	Criteria ii	Criteria iv	Criteria i	0.3436436951160431	0.9096515625715256	Criteria ii	Criteria iv	Criteria i	0.5788089	0.92466617	True	1.0	0.8945074751333104
10	19	51882365064	Criteria iv	Criteria ii	Criteria i	0.4485650956630707	0.915444642305374	Criteria iv	Criteria ii	Criteria i	0.7210392	0.946339	True	1.0	0.9047082374588971
