	index	sentence	origin	lang
0	0	Amsterdam, the Netherlands.	2	en
1	1	It has tags of citro, citro, eend, geit, deuche, deudeuche, red, rood, rouge, stadhouderskade, amsterdam, noordholland, nederland, holland, netherlands, paysbas, oldtimer, old, classic, french, car, auto, automobile, voiture, ancienne, fran, france, frankrijk, vehicle, outdoor	2	en
2	2	It has tags of xt, rfo, station, amsterdam, whiteframe	3	en
3	4	There was a single swan in the water which seemed to fit to this evening picture very well	8	en
4	6	It has title of Ford Transit minibus 1978	9	en
5	7	It has tags of bt, renault, dauphine, renaultdauphine, red, rood, rouge, r, prinsbernhardplein, amsterdam, noordholland, nederland, holland, netherlands, paysbas, oldtimer, old, classic, french, car, auto, automobile, voiture, ancienne, fran, france, frankrijk, vehicle, outdoor, redcars	13	en
6	8	Elvis the Cockatoo  / the resident bird at the Grand Café Restaurant 1e Klas the former first class waiting-room of Amsterdam Central Station, and now a pub	14	en
7	9	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	14	en
8	10	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	15	en
9	11	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	16	en
10	12	Nieuwe Kerk ( New Church ) is a 15th-century church in Amsterdam located on Dam Square, next to the Royal Palace	17	en
11	13	Formerly a Dutch Reformed Church parish, it now belongs to the Protestant Church in the Netherlands	17	en
12	14	The Nieuwe Kerk is no longer used for church services but is used as an exhibition space	17	en
13	15	It is also used for organ recitals	17	en
14	16	There is a café in one of the buildings attached to the church that has an entrance to the church (during opening hours)	17	en
15	17	There is a museum store inside the entrance that sells postcards, books, and gifts having to do with the church and its exhibitions	17	en
16	18	The church is used for Dutch royal investiture ceremonies (as per Article 32 of the Dutch Constitution) most recently that of King Willem-Alexander in 2013, as well as royal weddings, most recently the wedding of Willem-Alexander to Máxima in 2002	17	en
17	19	The investitures of Queens Wilhelmina, Juliana and Beatrix also took place there	17	en
18	20	After the Oude Kerk (.Old Church.) grew too small for the expanding population of the town, the bishop of Utrecht gave permission to build a second parish church, the Nieuwe Kerk (.New Church.)	17	en
19	21	Construction on began in 1380 and finished in 1408	17	en
20	22	This new church was consecrated in 1409[3] to St Mary and St Catharine, and the first services were held in 1410	17	en
21	23	The church was damaged by the city fires of 1421 and 1452 and burned down almost entirely in 1645, after which it was rebuilt in Gothic[1] style	17	en
22	24	In 1578 the building became a Dutch Reformed church	17	en
23	25	It underwent major renovation in 1892–1914, which added many neo-Gothic details and was again renovated in 1959–80	17	en
24	26	The second renovation proved expensive for the Dutch Reformed Church, forcing the church to be closed most of the time in order to save money on maintenance	17	en
25	27	To keep the church open, ownership was transferred in 1979 to a newly formed cultural foundation called the Nationale Stichting De Nieuwe Kerk.	17	en
26	28	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	17	en
27	29	The Oude Kerk (Old Church) is Amsterdam’s oldest building and youngest art institutes (since 2012)	18	en
