	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	0	Amsterdam, the Netherlands.	2	en	Criteria vi	Criteria ii	Criteria iv	0.4107296764850616	0.768342599272728	Criteria ii	Criteria i	Criteria iv	0.6135843	0.87025464	False	0.5	0.4956975388741473
1	1	It has tags of citro, citro, eend, geit, deuche, deudeuche, red, rood, rouge, stadhouderskade, amsterdam, noordholland, nederland, holland, netherlands, paysbas, oldtimer, old, classic, french, car, auto, automobile, voiture, ancienne, fran, france, frankrijk, vehicle, outdoor	2	en	Criteria iii	Criteria iv	Criteria ii	0.4721803069114685	0.767179474234581	Criteria iv	Criteria ii	Criteria vi	0.5574519	0.85547835	False	0.5	0.4579175574680929
2	2	It has tags of xt, rfo, station, amsterdam, whiteframe	3	en	Criteria iii	Criteria iv	Criteria ii	0.4413055181503296	0.7791172116994858	Criteria iv	Criteria iii	Criteria vi	0.5092361	0.74240226	False	0.5	0.6702581136528806
3	4	There was a single swan in the water which seemed to fit to this evening picture very well	8	en	Criteria i	Criteria iv	Criteria ii	0.2169214785099029	0.6073793321847916	Criteria vii	Criteria i	Criteria vi	0.4852895	0.67781436	False	0.2	0.32946192908563793
4	6	It has title of Ford Transit minibus 1978	9	en	Criteria vi	Criteria vii	Criteria viii	0.2733912467956543	0.5620099157094955	Criteria iv	Criteria ii	Criteria vi	0.34976977	0.8070461	False	0.2	0.474407599709669
5	7	It has tags of bt, renault, dauphine, renaultdauphine, red, rood, rouge, r, prinsbernhardplein, amsterdam, noordholland, nederland, holland, netherlands, paysbas, oldtimer, old, classic, french, car, auto, automobile, voiture, ancienne, fran, france, frankrijk, vehicle, outdoor, redcars	13	en	Criteria iii	Criteria iv	Criteria vi	0.4668680131435394	0.755009613931179	Criteria iv	Criteria vi	Criteria ii	0.58479124	0.8529039	False	0.5	0.4805719559034729
6	8	Elvis the Cockatoo  / the resident bird at the Grand Café Restaurant 1e Klas the former first class waiting-room of Amsterdam Central Station, and now a pub	14	en	Criteria x	Criteria iv	Criteria iii	0.2163453251123428	0.5108688920736313	Criteria vi	Criteria iv	Criteria vii	0.40370846	0.6354294	False	0.2	0.5939104272760578
7	9	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	14	en	Criteria iii	Criteria iv	Criteria ii	0.4387311041355133	0.7761849611997604	Criteria ii	Criteria i	Criteria iv	0.3081144	0.68559134	False	0.5	0.6441066953697004
8	10	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	15	en	Criteria iii	Criteria iv	Criteria ii	0.4387311041355133	0.7761849611997604	Criteria ii	Criteria i	Criteria iv	0.3081144	0.68559134	False	0.5	0.6441066953697004
9	11	It has tags of harveybarrison, hbarrison, amsterdam, netherlands, unescoworldheritage, travelphotography	16	en	Criteria iii	Criteria iv	Criteria ii	0.4387311041355133	0.7761849611997604	Criteria ii	Criteria i	Criteria iv	0.3081144	0.68559134	False	0.5	0.6441066953697004
10	12	Nieuwe Kerk ( New Church ) is a 15th-century church in Amsterdam located on Dam Square, next to the Royal Palace	17	en	Criteria iv	Criteria i	Criteria ii	0.4315271973609924	0.8679278939962387	Criteria ii	Criteria iv	Criteria i	0.6716128	0.93466604	False	1.0	0.5745611560780176
11	13	Formerly a Dutch Reformed Church parish, it now belongs to the Protestant Church in the Netherlands	17	en	Criteria iii	Criteria iv	Criteria v	0.3369234800338745	0.7811221331357956	Criteria iv	Criteria iii	Criteria vi	0.41782257	0.6606512	False	0.5	0.8272078135246386
12	14	The Nieuwe Kerk is no longer used for church services but is used as an exhibition space	17	en	Criteria iii	Criteria iv	Criteria vi	0.2997416257858276	0.7257545739412308	Criteria iv	Criteria vi	Criteria ii	0.702541	0.8683785	False	0.5	0.6287185321225084
