	0	1
0	57210421@N04	38162415@N07
1	57210421@N04	50621563@N02
2	57210421@N04	39723413@N06
3	57210421@N04	40340253@N03
4	57210421@N04	8569584@N08
5	57210421@N04	60395030@N02
6	57210421@N04	78279897@N06
7	57210421@N04	55845029@N00
8	57210421@N04	46891829@N00
9	57210421@N04	94526081@N02
10	193578629@N05	66956608@N06
11	193578629@N05	80075377@N05
12	193578629@N05	114680516@N07
13	193578629@N05	57453757@N07
14	63829447@N04	94564537@N06
15	63829447@N04	9546353@N03
16	63829447@N04	7806304@N08
17	63829447@N04	138014394@N03
18	63829447@N04	20442289@N08
19	63829447@N04	34127797@N02
20	63829447@N04	12054734@N06
21	63829447@N04	96478247@N03
22	63829447@N04	45162463@N07
23	63829447@N04	42875192@N07
24	63829447@N04	114840993@N05
25	63829447@N04	54278862@N06
26	63829447@N04	111668910@N03
27	63829447@N04	40408627@N07
28	63829447@N04	35213698@N08
29	63829447@N04	132208723@N05
30	63829447@N04	96127007@N02
31	63829447@N04	25543617@N00
32	63829447@N04	96299887@N06
33	63829447@N04	9377974@N03
34	63829447@N04	118553193@N04
35	63829447@N04	79852347@N06
36	63829447@N04	116863157@N03
37	63829447@N04	49599749@N05
38	63829447@N04	71153267@N03
39	63829447@N04	76884695@N04
40	63829447@N04	8850125@N05
41	63829447@N04	59514628@N00
42	63829447@N04	34825346@N02
43	63829447@N04	134430854@N03
44	63829447@N04	34509827@N05
45	63829447@N04	39301699@N02
46	63829447@N04	44450403@N06
47	63829447@N04	40871351@N00
48	63829447@N04	11685767@N05
49	63829447@N04	131055696@N02
50	63829447@N04	95933359@N07
51	63829447@N04	35988755@N08
52	63829447@N04	63040056@N03
53	63829447@N04	74286186@N00
54	63829447@N04	89994987@N06
55	63829447@N04	48871402@N08
56	63829447@N04	60551783@N00
57	63829447@N04	184307436@N07
58	63829447@N04	72168594@N04
59	63829447@N04	98091959@N07
60	63829447@N04	117310723@N07
61	63829447@N04	96826089@N04
62	63829447@N04	7172698@N06
63	63829447@N04	72984193@N02
64	63829447@N04	54222528@N02
65	63829447@N04	29277150@N00
66	63829447@N04	84874245@N08
67	63829447@N04	94574912@N00
