	Source	Target	Group_Name	18+	Members	Pool_Counts
0	57210421@N04	23484623@N00	Car Only	0	32	830
1	57210421@N04	1463451@N25	Project Weather	0	90876	588268
2	193578629@N05	77078651@N00	* Travel Photography for World Nomads *	0	18565	1288655
3	193578629@N05	768211@N23	Travel Blog	0	1519	93266
4	193578629@N05	1372006@N21	Travel Experiences (Worldwide)	0	1264	71488
5	193578629@N05	847059@N22	Travel Photo Daily	0	2637	171945
6	193578629@N05	41425956@N00	Travel Photography	0	156454	6386017
7	193578629@N05	1929941@N25	Travelling Pixels	0	3776	137518
8	193578629@N05	2081182@N20	Travelling Vicariously	0	3727	158648
9	63829447@N04	3960504@N23	A PRESERVED RAILWAY	0	625	39070
10	63829447@N04	625544@N21	Architecture at Night	0	1159	24083
11	63829447@N04	77162218@N00	Architecture in Europe	0	11478	656012
12	63829447@N04	58615245@N00	Architecture of Days Gone By	0	4301	273648
13	63829447@N04	45939032@N00	Beautiful Japan	0	11361	412385
14	63829447@N04	79777139@N00	Beijing	0	4341	114215
15	63829447@N04	4185798@N22	BUS MANIA	0	125	104029
16	63829447@N04	85044099@N00	Castles / Châteaux / Schlösser / Castillos / Castelli	0	4797	100942
17	63829447@N04	62647754@N00	China, The Middle Country 中国	0	13401	349859
18	63829447@N04	26859439@N00	Church Interiors	0	12571	248089
19	63829447@N04	99108923@N00	Churches of Europe (Max. 3 pictures per day)	0	3482	118138
20	63829447@N04	847905@N25	City Bird's Eye View	0	433	4614
21	63829447@N04	17252573@N00	City Hall	0	635	8201
22	63829447@N04	921778@N23	City Landmark	0	379	9222
23	63829447@N04	32174238@N00	City Parks	0	614	7213
24	63829447@N04	89545204@N00	City Skylines	0	4062	48696
25	63829447@N04	738515@N22	City Skylines (Buildings,Cities)	0	21160	502822
26	63829447@N04	25938750@N00	Contemporary Architecture	0	10686	267285
27	63829447@N04	89888984@N00	HDR	0	90566	1108790
28	63829447@N04	92575895@N00	Houses and Homes exteriors	0	7416	120461
29	63829447@N04	52242378730@N01	Japan Images	0	21476	1086123
30	63829447@N04	16906560@N00	Landmarks	0	1577	42011
31	63829447@N04	23854677@N00	Landscape	0	101018	1050721
32	63829447@N04	979936@N25	landscape around the world	0	30720	542827
33	63829447@N04	1003995@N21	Landscape Beauty !	0	80823	2593735
34	63829447@N04	1463451@N25	Project Weather	0	90876	588268
35	63829447@N04	1735785@N23	Seascape Central	0	7097	138275
36	63829447@N04	52240744699@N01	Seascapes and Seashores	0	36870	905688
37	63829447@N04	1578162@N22	Skyline Junkies	0	2917	44362
38	63829447@N04	41649083@N00	Truly Asia	0	4070	209121
39	63829447@N04	613546@N23	Ultimate Wildlife Photography-NO SCENICS OR BOTANY PICS PLEASE	0	2471	67225
40	63829447@N04	15405610@N00	Urban Asia	0	8227	351780
41	63829447@N04	859788@N21	View From Above	0	30	590
42	63829447@N04	1920123@N23	World Famous Landmarks	0	55	1035
43	193550492@N08	71332142@N00	!Catchy Colors	0	210307	4750577
44	193550492@N08	55475894@N00	* Vanishing Points *	0	48702	247990
45	193550492@N08	14648991@N21	Behind the Shot Podcast	0	1152	6330
46	193550492@N08	94761711@N00	HCSP (Hardcore Street Photography)	0	87722	3667
47	193550492@N08	42097308@N00	Less Is More...	0	89802	98473
48	193550492@N08	52240257802@N01	Long Exposure	0	70283	937526
49	193550492@N08	374254@N20	Matte Painting	0	628	2075
50	193550492@N08	70428772@N00	Photography Critique	0	24836	7282
51	193550492@N08	91514935@N00	Self Taught Photographers - LOOK AT DISCUSSIONS FIRST!	0	59516	1794584
52	193550492@N08	2932332@N23	The Fog and The Rain	0	14115	139235
53	37692771@N07	1781114@N24	* Canonikos *	0	1997	124725
54	37692771@N07	709187@N23	Birding In The Wild	0	25412	1234859
55	37692771@N07	3776929@N24	Help us to protect the environment!	0	441	19381
56	37692771@N07	63042507@N00	Island Photography	0	6186	130453
57	37692771@N07	27206149@N00	Les plus beaux villages de France	0	2012	14730
58	37692771@N07	2687018@N21	Nikon -- D810	0	4644	201430
59	37692771@N07	314632@N20	Nikon_D300	0	1400	58453
60	37692771@N07	86347415@N00	Polynesia	0	711	7986
61	37692771@N07	2463108@N24	SEASCAPES!!!	0	3416	183029
62	37692771@N07	656916@N24	Thailand Flickr	0	1521	1884
63	37692771@N07	74794523@N00	TRAVEL Photography!	0	21346	2241778
64	8308954@N06	392839@N22	&quot;Exemplary Shots - Flickr's BEST! (Post 1 Award 3)&quot;	0	28220	1221808
65	8308954@N06	476123@N24	&quot;The Life in White&quot; ( post 1/ award 2)	0	2863	31979
66	8308954@N06	36672842@N00	* in上海 / shanghai	0	3424	79427
67	8308954@N06	417373@N20	*THE PERFECT PHOTOGRAPHER (P1/A2)	0	62236	1649338
68	8308954@N06	31411830@N00	[minidisc.love]	0	231	1890
69	8308954@N06	729073@N22	ALL ABOUT INSECTS &amp; SPIDERS	0	9111	194284
70	8308954@N06	931419@N22	Android Community	0	1124	29681
71	8308954@N06	1308171@N25	Android mini collectibles	0	261	860
72	8308954@N06	99486572@N00	Animal Kingdom (YOUR IMAGE MUST HAVE AN INVITE)	0	5511	22233
73	8308954@N06	47643757@N00	Animal Planet	0	80089	1415797
74	8308954@N06	554751@N21	Around the World Landscapes	0	7839	23808
75	8308954@N06	1945989@N24	Asian cave 亚洲洞穴	0	3492	28918
76	8308954@N06	772090@N23	ATP Tennis	0	530	8548
77	8308954@N06	63003368@N00	ATP Tour	0	320	8895
78	8308954@N06	26774381@N00	AUTUMN*FALL  P1/A5 ***CONTEST  for every member	0	17559	146876
79	8308954@N06	30597236@N00	Baby's life	0	5792	69264
80	8308954@N06	533530@N20	Beautiful Bugs	0	7357	209503
81	8308954@N06	85959185@N00	Best and/or most sun stars in a single shot	0	122	603
82	8308954@N06	628918@N21	Best Landscape Photos of China	0	545	1326
83	8308954@N06	499033@N20	Butterflies' Elegance (invite only)...Please comment.	0	3534	18358
84	8308954@N06	2413647@N24	CHILD PHOTO COMPETITION	0	1647	19794
85	8308954@N06	78261827@N00	China Heritage	0	91	2759
86	8308954@N06	1081279@N25	China Off the Beaten Path	0	508	18073
87	8308954@N06	62647754@N00	China, The Middle Country 中国	0	13401	349859
88	8308954@N06	37718678501@N01	Chinese	0	21399	374511
89	8308954@N06	75438331@N00	Chinese New Year	0	1292	23504
90	8308954@N06	52241335207@N01	Closer and Closer Macro Photography: 2022	0	88284	993942
91	8308954@N06	1242247@N20	Danbo ♥	0	1949	16263
92	8308954@N06	75384026@N00	Dragonflies	0	9534	130720
93	8308954@N06	506798@N20	Dragonfly Gallery	0	7130	93117
94	8308954@N06	62246776@N00	Fireworks	0	23799	99797
