	origin	index	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	8	51859675789	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
1	9	51859339946	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
2	10	51858385807	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
3	11	51859339546	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
4	12	51858385377	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
5	13	51858385192	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria ii	Criteria iii	0.42839772	0.71539164	False	0.2	0.704014747209905
6	14	51860000170	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria ii	Criteria iii	0.42839772	0.71539164	False	0.2	0.704014747209905
7	15	51859999785	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria ii	Criteria iii	0.42839772	0.71539164	False	0.2	0.704014747209905
8	16	51858384372	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria vi	Criteria iii	0.2871477	0.74042606	False	0.5	0.89706838354588
9	17	51859338071	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria vi	Criteria iii	0.2871477	0.74042606	False	0.5	0.89706838354588
10	18	51858384092	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria vi	Criteria iii	0.2871477	0.74042606	False	0.5	0.89706838354588
11	19	51859337811	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria vi	Criteria iii	0.2871477	0.74042606	False	0.5	0.89706838354588
12	20	51859673444	Criteria iii	Criteria vi	Criteria i	0.2616501152515411	0.6425934284925461	Criteria iv	Criteria vi	Criteria iii	0.2871477	0.74042606	False	0.5	0.89706838354588
13	21	51858386362	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
14	22	51859340181	Criteria x	Criteria viii	Criteria vii	0.3144168555736542	0.7990506887435913	Criteria ix	Criteria x	Criteria viii	0.59242535	0.8981495	False	0.5	0.45559402095578794
15	23	51849953700	Criteria vi	Criteria iii	Criteria iv	0.4024786055088043	0.7455948740243912	Criteria iii	Criteria vi	Criteria iv	0.4505241	0.81266505	False	1.0	0.8385627872783077
16	24	51849624444	Criteria vi	Criteria iii	Criteria iv	0.4024786055088043	0.7455948740243912	Criteria iii	Criteria vi	Criteria iv	0.4505241	0.81266505	False	1.0	0.8385627872783077
17	25	51849298111	Criteria vi	Criteria iii	Criteria iv	0.4024786055088043	0.7455948740243912	Criteria iii	Criteria vi	Criteria iv	0.4505241	0.81266505	False	1.0	0.8385627872783077
18	26	51849624014	Criteria vi	Criteria iii	Criteria iv	0.4024786055088043	0.7455948740243912	Criteria iii	Criteria vi	Criteria iv	0.4505241	0.81266505	False	1.0	0.8385627872783077
