	index	candownload	url_c	url_q	url_n	url_largest	owner	owner_loc	title	description	comments	taken	views	people	tags	lat	lon	neighbourhood	url	local	tag_list	tag_len	NOT	year	time	week	unique_week	text_data	Chinese	English	Other_Lang	revised_text	text_len	num_sent
8	51859675789	1.0	https://live.staticflickr.com/65535/51859675789_2abb735954_c.jpg	https://live.staticflickr.com/65535/51859675789_2abb735954_q.jpg	https://live.staticflickr.com/65535/51859675789_2abb735954_n.jpg	https://live.staticflickr.com/65535/51859675789_0dc586ec53_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:33:40	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859675789/	True	[]	0	False	2022	2022-02-03 13:33:40	5	202205	                               . It has title of 灭渡桥. It has tags of 	1	0	0	It has title of Extinction Bridge	6	1
13	51858385192	1.0	https://live.staticflickr.com/65535/51858385192_36a8f0f113_c.jpg	https://live.staticflickr.com/65535/51858385192_36a8f0f113_q.jpg	https://live.staticflickr.com/65535/51858385192_36a8f0f113_n.jpg	https://live.staticflickr.com/65535/51858385192_411b10b2a5_o.jpg	57210421@N04	Beijing, China	下津桥	                               	0.0	2022-02-03 14:24:46	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858385192/	True	[]	0	False	2022	2022-02-03 14:24:46	5	202205	                               . It has title of 下津桥. It has tags of 	1	0	0	It has title of Shimotsu Bridge	6	1
4111	27910400829	1.0	https://live.staticflickr.com/4751/27910400829_a462fe4dbd_c.jpg	https://live.staticflickr.com/4751/27910400829_a462fe4dbd_q.jpg	https://live.staticflickr.com/4751/27910400829_a462fe4dbd_n.jpg	https://live.staticflickr.com/4751/27910400829_467954f5fb_o.jpg	127423136@N05		Corridor, Hanshan Temple - Suzhou, China	OLYMPUS DIGITAL CAMERA	0.0	2018-01-05 12:08:29	81.0	0.0	"[{'id': '127417796-27910400829-49', 'author': '127423136@N05', 'authorname': ""L'Oranger11"", 'raw': 'China', '_content': 'china', 'machine_tag': 0}, {'id': '127417796-27910400829-8581', 'author': '127423136@N05', 'authorname': ""L'Oranger11"", 'raw': 'Buddhism', '_content': 'buddhism', 'machine_tag': 0}, {'id': '127417796-27910400829-1891', 'author': '127423136@N05', 'authorname': ""L'Oranger11"", 'raw': 'temple', '_content': 'temple', 'machine_tag': 0}, {'id': '127417796-27910400829-3671', 'author': '127423136@N05', 'authorname': ""L'Oranger11"", 'raw': 'suzhou', '_content': 'suzhou', 'machine_tag': 0}, {'id': '127417796-27910400829-2107183', 'author': '127423136@N05', 'authorname': ""L'Oranger11"", 'raw': 'hanshan', '_content': 'hanshan', 'machine_tag': 0}]"	31.312618	120.563932		https://www.flickr.com/photos/127423136@N05/27910400829/	False	['china', 'buddhism', 'temple', 'suzhou', 'hanshan']	5	False	2018	2018-01-05 12:08:29	1	201801	OLYMPUS DIGITAL CAMERA. It has title of Corridor, Hanshan Temple - Suzhou, China. It has tags of china, buddhism, temple, suzhou, hanshan	0	1	0	It has title of Corridor, Hanshan Temple - Suzhou, China. It has tags of china, buddhism, temple, suzhou, hanshan	19	2
16	51858384372	1.0	https://live.staticflickr.com/65535/51858384372_6d280af9ae_c.jpg	https://live.staticflickr.com/65535/51858384372_6d280af9ae_q.jpg	https://live.staticflickr.com/65535/51858384372_6d280af9ae_n.jpg	https://live.staticflickr.com/65535/51858384372_3e689dbe9c_o.jpg	57210421@N04	Beijing, China	上津桥	                               	0.0	2022-02-03 14:41:14	1.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858384372/	True	[]	0	False	2022	2022-02-03 14:41:14	5	202205	                               . It has title of 上津桥. It has tags of 	1	0	0	It has title of Shangjin Bridge	6	1
4116	38919131931	1.0	https://live.staticflickr.com/4544/38919131931_d7023e379e_c.jpg	https://live.staticflickr.com/4544/38919131931_d7023e379e_q.jpg	https://live.staticflickr.com/4544/38919131931_d7023e379e_n.jpg	https://live.staticflickr.com/4544/38919131931_efaa1d0cf6_o.jpg	95645163@N00	Milan	IMG_6925		0.0	2017-08-22 13:41:19	43.0	0.0	[{'id': '6213996-38919131931-229532831', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'Suzhou Shi', '_content': 'suzhoushi', 'machine_tag': 0}, {'id': '6213996-38919131931-55420325', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'Jiangsu Sheng', '_content': 'jiangsusheng', 'machine_tag': 0}, {'id': '6213996-38919131931-49', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'China', '_content': 'china', 'machine_tag': 0}, {'id': '6213996-38919131931-1308', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'CN', '_content': 'cn', 'machine_tag': 0}]	31.318677	120.628722		https://www.flickr.com/photos/opiu/38919131931/	False	['suzhoushi', 'jiangsusheng', 'china', 'cn']	4	False	2017	2017-08-22 13:41:19	34	201734	. It has title of IMG_6925. It has tags of suzhoushi, jiangsusheng, china, cn	0	0	1	It has tags of suzhoushi, jiangsusheng, china, cn	8	1
4117	27142771579	1.0	https://live.staticflickr.com/4647/27142771579_fb8026b7ec_c.jpg	https://live.staticflickr.com/4647/27142771579_fb8026b7ec_q.jpg	https://live.staticflickr.com/4647/27142771579_fb8026b7ec_n.jpg	https://live.staticflickr.com/4647/27142771579_e3cec961ce_o.jpg	95645163@N00	Milan	IMG_6928		0.0	2017-08-22 13:42:54	40.0	0.0	[{'id': '6213996-27142771579-229532831', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'Suzhou Shi', '_content': 'suzhoushi', 'machine_tag': 0}, {'id': '6213996-27142771579-55420325', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'Jiangsu Sheng', '_content': 'jiangsusheng', 'machine_tag': 0}, {'id': '6213996-27142771579-49', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'China', '_content': 'china', 'machine_tag': 0}, {'id': '6213996-27142771579-1308', 'author': '95645163@N00', 'authorname': 'opiu', 'raw': 'CN', '_content': 'cn', 'machine_tag': 0}]	31.318677	120.628722		https://www.flickr.com/photos/opiu/27142771579/	False	['suzhoushi', 'jiangsusheng', 'china', 'cn']	4	False	2017	2017-08-22 13:42:54	34	201734	. It has title of IMG_6928. It has tags of suzhoushi, jiangsusheng, china, cn	0	0	1	It has tags of suzhoushi, jiangsusheng, china, cn	8	1
23	51849953700	1.0	https://live.staticflickr.com/65535/51849953700_f05f7f7160_c.jpg	https://live.staticflickr.com/65535/51849953700_f05f7f7160_q.jpg	https://live.staticflickr.com/65535/51849953700_f05f7f7160_n.jpg	https://live.staticflickr.com/65535/51849953700_96800c1624_o.jpg	57210421@N04	Beijing, China	元代的江南	                               	0.0	2022-01-29 13:21:32	6.0	0.0	[]	31.32523	120.623391		https://www.flickr.com/photos/wishingbone/51849953700/	True	[]	0	False	2022	2022-01-29 13:21:32	4	202204	                               . It has title of 元代的江南. It has tags of 	1	0	0	It has title of Jiangnan in Yuan Dynasty	8	1
4129	38689625892	1.0	https://live.staticflickr.com/4568/38689625892_a5328fe8e6_c.jpg	https://live.staticflickr.com/4568/38689625892_a5328fe8e6_q.jpg	https://live.staticflickr.com/4568/38689625892_a5328fe8e6_n.jpg	https://live.staticflickr.com/4568/38689625892_f488726ea5_o.jpg	147141688@N03		Pavilion of Surging Waves	"Canglang Pavilion 滄浪亭

<a href=""https://en.wikipedia.org/wiki/Canglang_Pavilion"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Canglang_Pavilion</a>
<a href=""http://www.orientalarchitecture.com/sid/133/china/suzhou/surging-waves-pavilion"" rel=""noreferrer nofollow"">www.orientalarchitecture.com/sid/133/china/suzhou/surging...</a>
<a href=""http://whc.unesco.org/en/list/813/multiple=1&amp;unique_number=961"" rel=""noreferrer nofollow"">whc.unesco.org/en/list/813/multiple=1&amp;unique_number=961</a>

20171120 adam0730 "	0.0	2017-11-29 21:57:03	36.0	0.0	[{'id': '147118634-38689625892-302592763', 'author': '147141688@N03', 'authorname': 'blueilgu', 'raw': '20171120', '_content': '20171120', 'machine_tag': 0}, {'id': '147118634-38689625892-364093515', 'author': '147141688@N03', 'authorname': 'blueilgu', 'raw': 'Pavilion_of_Surging_Waves', '_content': 'pavilionofsurgingwaves', 'machine_tag': 0}, {'id': '147118634-38689625892-2422078', 'author': '147141688@N03', 'authorname': 'blueilgu', 'raw': 'Canglang_Pavilion', '_content': 'canglangpavilion', 'machine_tag': 0}, {'id': '147118634-38689625892-1314774', 'author': '147141688@N03', 'authorname': 'blueilgu', 'raw': 'UNESCO_WHS', '_content': 'unescowhs', 'machine_tag': 0}, {'id': '147118634-38689625892-1483', 'author': '147141688@N03', 'authorname': 'blueilgu', 'raw': 'garden', '_content': 'garden', 'machine_tag': 0}]	31.297034	120.621911		https://www.flickr.com/photos/blueilgu/38689625892/	False	['pavilionofsurgingwaves', 'canglangpavilion', 'unescowhs', 'garden']	4	False	2017	2017-11-29 21:57:03	48	201748	"Canglang Pavilion 滄浪亭

<a href=""https://en.wikipedia.org/wiki/Canglang_Pavilion"" rel=""noreferrer nofollow"">en.wikipedia.org/wiki/Canglang_Pavilion</a>
<a href=""http://www.orientalarchitecture.com/sid/133/china/suzhou/surging-waves-pavilion"" rel=""noreferrer nofollow"">www.orientalarchitecture.com/sid/133/china/suzhou/surging...</a>
<a href=""http://whc.unesco.org/en/list/813/multiple=1&amp;unique_number=961"" rel=""noreferrer nofollow"">whc.unesco.org/en/list/813/multiple=1&amp;unique_number=961</a>

20171120 adam0730 . It has title of Pavilion of Surging Waves. It has tags of pavilionofsurgingwaves, canglangpavilion, unescowhs, garden"	0	1	1	It has title of Pavilion of Surging Waves. It has tags of pavilionofsurgingwaves, canglangpavilion, unescowhs, garden. Canglang Pavilion 20171120 adam0730	20	3
4136	26874316829	1.0	https://live.staticflickr.com/4516/26874316829_9d58c4df1c_c.jpg	https://live.staticflickr.com/4516/26874316829_9d58c4df1c_q.jpg	https://live.staticflickr.com/4516/26874316829_9d58c4df1c_n.jpg	https://live.staticflickr.com/4516/26874316829_7d98ef83e0_o.jpg	15047208@N00	Beijing, China	IMG_5451	Suzhou Ancient City	0.0	2017-11-22 06:58:04	52.0	0.0	[]	31.312669	120.637497		https://www.flickr.com/photos/zhoudon/26874316829/	True	[]	0	False	2017	2017-11-22 06:58:04	47	201747	Suzhou Ancient City. It has title of IMG_5451. It has tags of 	0	1	0	Suzhou Ancient City	3	1
4137	38618080352	1.0	https://live.staticflickr.com/4541/38618080352_932a10d218_c.jpg	https://live.staticflickr.com/4541/38618080352_932a10d218_q.jpg	https://live.staticflickr.com/4541/38618080352_932a10d218_n.jpg	https://live.staticflickr.com/4541/38618080352_13fed93265_o.jpg	15047208@N00	Beijing, China	IMG_5446	Suzhou Ancient City	0.0	2017-11-22 06:44:20	48.0	0.0	[]	31.301255	120.628525		https://www.flickr.com/photos/zhoudon/38618080352/	True	[]	0	False	2017	2017-11-22 06:44:20	47	201747	Suzhou Ancient City. It has title of IMG_5446. It has tags of 	0	1	0	Suzhou Ancient City	3	1
