	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	0	"It has title of ""Raining Soochow"""	104	en	Criteria iii	Criteria vi	Criteria iv	0.2798195779323578	0.6869221180677414	Criteria vii	Criteria vi	Criteria x	0.19181646	0.5088879	False	0.2	0.722470093708716
1	1	"It has title of ""Glow In the Dark"""	106	en	Criteria vi	Criteria iii	Criteria iv	0.3317881226539612	0.5981352925300598	Criteria x	Criteria i	Criteria vii	0.22477421	0.5912012	False	0.0	0.5345479846084523
2	5	and a family (in the background)	131	en	Criteria iii	Criteria iv	Criteria vi	0.3816162049770355	0.7498907297849655	Criteria iv	Criteria iii	Criteria v	0.3307106	0.76019055	False	0.5	0.9035073710022031
3	6	It has title of Goldfishes	131	en	Criteria iii	Criteria vi	Criteria iv	0.2930352985858917	0.6197246760129929	Criteria x	Criteria vii	Criteria ix	0.7221159	0.9202099	False	0.0	0.14076000422465762
4	7	It has title of Tetrahedral shadow and rockery	132	en	Criteria viii	Criteria iii	Criteria vii	0.2076798975467682	0.5340652167797089	Criteria iv	Criteria vii	Criteria vi	0.4388483	0.6523282	False	0.2	0.5225139507860587
5	8	It has title of Scene in a Circle in a Circle	135	en	Criteria vi	Criteria ii	Criteria iv	0.2989838719367981	0.6572082191705704	Criteria i	Criteria vi	Criteria iii	0.44515142	0.7500081	False	0.2	0.7677203903461575
6	9	It has title of A streetlamp in SIP	137	en	Criteria vi	Criteria iii	Criteria iv	0.3221587240695953	0.6666189581155777	Criteria iv	Criteria i	Criteria iii	0.49122927	0.7830814	False	0.5	0.5634282748500502
7	10	It has title of The classic Soochow-style brunch	138	en	Criteria i	Criteria iv	Criteria iii	0.3623168170452118	0.73405322432518	Criteria vi	Criteria iv	Criteria iii	0.47791693	0.7732083	False	0.5	0.6124940340040524
8	11	It has tags of chenyang, suzhou, jiangsu, peoplesrepublicofchina	349	en	Criteria iii	Criteria vi	Criteria iv	0.5091568231582642	0.8252360075712204	Criteria iii	Criteria vi	Criteria iv	0.33375052	0.7684509	True	1.0	0.9360536335830533
9	12	It has tags of suzhou, jiangsu, peoplesrepublicofchina, chenyang	350	en	Criteria iii	Criteria vi	Criteria ii	0.4809510111808777	0.821939080953598	Criteria vi	Criteria iii	Criteria iv	0.44325262	0.7708029	False	0.5	0.7715574870759646
10	13	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	361	en	Criteria i	Criteria vi	Criteria iv	0.3793106377124786	0.7589767724275589	Criteria iv	Criteria i	Criteria vi	0.336931	0.7938025	False	1.0	0.8976769862970054
11	14	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	361	en	Criteria iii	Criteria vi	Criteria ii	0.3305861055850982	0.6923008561134338	Criteria i	Criteria iv	Criteria vi	0.3624234	0.81795615	False	0.2	0.5901939913127738
12	16	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	363	en	Criteria i	Criteria ii	Criteria iv	0.4642496109008789	0.8189558610320091	Criteria i	Criteria iv	Criteria ii	0.8334854	0.92818916	True	1.0	0.8823021581748266
13	17	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	363	en	Criteria iii	Criteria iv	Criteria vi	0.1907768547534942	0.4952413290739059	Criteria iv	Criteria i	Criteria ii	0.36913243	0.85135925	False	0.2	0.6971179647141623
