	index	sentence	origin	lang	Criteria i	Criteria ii	Criteria iii	Criteria iv	Criteria v	Criteria vi	Criteria vii	Criteria viii	Criteria ix	Criteria x	Others	max_1_val	max_1_col	max_2_val	max_2_col	max_3_val	max_3_col	max_1	max_3
0	0	"It has title of ""Raining Soochow"""	104	en	0.10459380596876144	0.058130376040935516	0.2798195779323578	0.12803591787815094	0.01681237481534481	0.27906662225723267	0.04300511255860329	0.03883129730820656	0.016578026115894318	0.033539652824401855	0.0015871879877522588	0.2798195779323578	Criteria iii	0.27906662225723267	Criteria vi	0.12803591787815094	Criteria iv	0.2798195779323578	0.6869221180677414
1	1	"It has title of ""Glow In the Dark"""	106	en	0.05603206530213356	0.07096920907497406	0.16867011785507202	0.09767705202102661	0.01639631763100624	0.3317881226539612	0.055128902196884155	0.09304280579090118	0.03378264978528023	0.0731102004647255	0.0034024904016405344	0.3317881226539612	Criteria vi	0.16867011785507202	Criteria iii	0.09767705202102661	Criteria iv	0.3317881226539612	0.5981352925300598
2	5	and a family (in the background)	131	en	0.021471865475177765	0.10697950422763824	0.3816162049770355	0.18867821991443634	0.09412892907857895	0.17959630489349365	0.007077400106936693	0.004498347640037537	0.0077478536404669285	0.008070901967585087	0.0001344825723208487	0.3816162049770355	Criteria iii	0.18867821991443634	Criteria iv	0.17959630489349365	Criteria vi	0.3816162049770355	0.7498907297849655
3	6	It has title of Goldfishes	131	en	0.1260422021150589	0.06004936620593071	0.2930352985858917	0.14053753018379211	0.012537396512925625	0.18615184724330902	0.0634211078286171	0.05956332013010979	0.022375265136361122	0.035623885691165924	0.0006626943941228092	0.2930352985858917	Criteria iii	0.18615184724330902	Criteria vi	0.14053753018379211	Criteria iv	0.2930352985858917	0.6197246760129929
4	7	It has title of Tetrahedral shadow and rockery	132	en	0.09853826463222504	0.030403707176446915	0.16541863977909088	0.07933136820793152	0.011728261597454548	0.13352851569652557	0.1609666794538498	0.2076798975467682	0.049796778708696365	0.0602569654583931	0.002350874012336135	0.2076798975467682	Criteria viii	0.16541863977909088	Criteria iii	0.1609666794538498	Criteria vii	0.2076798975467682	0.5340652167797089
5	8	It has title of Scene in a Circle in a Circle	135	en	0.1589445173740387	0.1959085315465927	0.12851093709468842	0.16231581568717957	0.012105042114853859	0.2989838719367981	0.015492472797632217	0.016430385410785675	0.004658178426325321	0.006393391638994217	0.00025676851510070264	0.2989838719367981	Criteria vi	0.1959085315465927	Criteria ii	0.16231581568717957	Criteria iv	0.2989838719367981	0.6572082191705704
6	9	It has title of A streetlamp in SIP	137	en	0.08848202228546143	0.08548855781555176	0.193378284573555	0.15108194947242737	0.02149491012096405	0.32215872406959534	0.02835693582892418	0.043079834431409836	0.01964343711733818	0.04561930149793625	0.0012160988990217447	0.32215872406959534	Criteria vi	0.193378284573555	Criteria iii	0.15108194947242737	Criteria iv	0.32215872406959534	0.6666189581155777
7	10	It has title of The classic Soochow-style brunch	138	en	0.3623168170452118	0.08111178129911423	0.1728617399930954	0.19887466728687286	0.005275319330394268	0.16098223626613617	0.006078668870031834	0.008294150233268738	0.0017165453173220158	0.00232020765542984	0.00016776211850810796	0.3623168170452118	Criteria i	0.19887466728687286	Criteria iv	0.1728617399930954	Criteria iii	0.3623168170452118	0.73405322432518
8	11	It has tags of chenyang, suzhou, jiangsu, peoplesrepublicofchina	349	en	0.03164992108941078	0.08844032883644104	0.5091568231582642	0.10126383602619171	0.029403338208794594	0.21481534838676453	0.009205138310790062	0.003333471482619643	0.005158758722245693	0.007501673884689808	7.136011845432222e-05	0.5091568231582642	Criteria iii	0.21481534838676453	Criteria vi	0.10126383602619171	Criteria iv	0.5091568231582642	0.8252360075712204
9	12	It has tags of suzhou, jiangsu, peoplesrepublicofchina, chenyang	350	en	0.03328174725174904	0.1097305566072464	0.4809510111808777	0.09311357140541077	0.0251617394387722	0.23125751316547394	0.00920024048537016	0.0030357709620147943	0.005217662546783686	0.008955770172178745	9.43717677728273e-05	0.4809510111808777	Criteria iii	0.23125751316547394	Criteria vi	0.1097305566072464	Criteria ii	0.4809510111808777	0.821939080953598
10	13	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	361	en	0.37931063771247864	0.0819176658987999	0.10682477056980133	0.18626990914344788	0.0180632583796978	0.19339622557163239	0.015671078115701675	0.007559450808912516	0.002970796311274171	0.0075092012993991375	0.0005070202169008553	0.37931063771247864	Criteria i	0.19339622557163239	Criteria vi	0.18626990914344788	Criteria iv	0.37931063771247864	0.7589767724275589
11	14	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	361	en	0.10834252834320068	0.130412757396698	0.33058610558509827	0.12788474559783936	0.0234773401170969	0.23130199313163757	0.02112731896340847	0.011339226737618446	0.007462702691555023	0.007885370403528214	0.00017999786359723657	0.33058610558509827	Criteria iii	0.23130199313163757	Criteria vi	0.130412757396698	Criteria ii	0.33058610558509827	0.6923008561134338
12	16	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	363	en	0.4642496109008789	0.2326119840145111	0.04896407574415207	0.12209426611661911	0.007592983543872833	0.12134984880685806	0.0010807737708091736	0.0005442459369078279	0.00040618941420689225	0.0007123280665837228	0.0003937347501050681	0.4642496109008789	Criteria i	0.2326119840145111	Criteria ii	0.12209426611661911	Criteria iv	0.4642496109008789	0.8189558610320091
13	17	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	363	en	0.13853539526462555	0.07497954368591309	0.19077685475349426	0.15784507989883423	0.01342474203556776	0.14661939442157745	0.10571078211069107	0.054349321871995926	0.023149199783802032	0.09413576871156693	0.00047388082020916045	0.19077685475349426	Criteria iii	0.15784507989883423	Criteria iv	0.14661939442157745	Criteria vi	0.19077685475349426	0.49524132907390594
14	18	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	363	en	0.15777115523815155	0.5144327878952026	0.056089531630277634	0.24240708351135254	0.011139724403619766	0.016745563596487045	0.00038370327092707157	0.00034549785777926445	0.00025283850845880806	0.00026937207439914346	0.0001627023157197982	0.5144327878952026	Criteria ii	0.24240708351135254	Criteria iv	0.15777115523815155	Criteria i	0.5144327878952026	0.9146110266447067
15	19	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	363	en	0.37248510122299194	0.1531820297241211	0.06982442736625671	0.3343188464641571	0.02535700611770153	0.027583478018641472	0.007163286209106445	0.004823221359401941	0.0025379336439073086	0.0024764651898294687	0.00024828678579069674	0.37248510122299194	Criteria i	0.3343188464641571	Criteria iv	0.1531820297241211	Criteria ii	0.37248510122299194	0.8599859774112701
16	21	It has title of Master of the Nets Garden 网师园	363	en	0.4281662404537201	0.11371126770973206	0.09806801378726959	0.14851748943328857	0.007321296259760857	0.19236837327480316	0.0038848656695336103	0.0035737899597734213	0.001461137318983674	0.002356399316340685	0.0005710363620892167	0.4281662404537201	Criteria i	0.19236837327480316	Criteria vi	0.14851748943328857	Criteria iv	0.4281662404537201	0.7690521031618118
17	22	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	364	en	0.4642496109008789	0.2326119840145111	0.04896407574415207	0.12209426611661911	0.007592983543872833	0.12134984880685806	0.0010807737708091736	0.0005442459369078279	0.00040618941420689225	0.0007123280665837228	0.0003937347501050681	0.4642496109008789	Criteria i	0.2326119840145111	Criteria ii	0.12209426611661911	Criteria iv	0.4642496109008789	0.8189558610320091
18	23	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	364	en	0.13853539526462555	0.07497954368591309	0.19077685475349426	0.15784507989883423	0.01342474203556776	0.14661939442157745	0.10571078211069107	0.054349321871995926	0.023149199783802032	0.09413576871156693	0.00047388082020916045	0.19077685475349426	Criteria iii	0.15784507989883423	Criteria iv	0.14661939442157745	Criteria vi	0.19077685475349426	0.49524132907390594
19	24	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	364	en	0.15777115523815155	0.5144327878952026	0.056089531630277634	0.24240708351135254	0.011139724403619766	0.016745563596487045	0.00038370327092707157	0.00034549785777926445	0.00025283850845880806	0.00026937207439914346	0.0001627023157197982	0.5144327878952026	Criteria ii	0.24240708351135254	Criteria iv	0.15777115523815155	Criteria i	0.5144327878952026	0.9146110266447067
20	25	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	364	en	0.37248510122299194	0.1531820297241211	0.06982442736625671	0.3343188464641571	0.02535700611770153	0.027583478018641472	0.007163286209106445	0.004823221359401941	0.0025379336439073086	0.0024764651898294687	0.00024828678579069674	0.37248510122299194	Criteria i	0.3343188464641571	Criteria iv	0.1531820297241211	Criteria ii	0.37248510122299194	0.8599859774112701
21	27	It has title of Master of the Nets Garden 网师园	364	en	0.4281662404537201	0.11371126770973206	0.09806801378726959	0.14851748943328857	0.007321296259760857	0.19236837327480316	0.0038848656695336103	0.0035737899597734213	0.001461137318983674	0.002356399316340685	0.0005710363620892167	0.4281662404537201	Criteria i	0.19236837327480316	Criteria vi	0.14851748943328857	Criteria iv	0.4281662404537201	0.7690521031618118
22	28	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	370	en	0.37931063771247864	0.0819176658987999	0.10682477056980133	0.18626990914344788	0.0180632583796978	0.19339622557163239	0.015671078115701675	0.007559450808912516	0.002970796311274171	0.0075092012993991375	0.0005070202169008553	0.37931063771247864	Criteria i	0.19339622557163239	Criteria vi	0.18626990914344788	Criteria iv	0.37931063771247864	0.7589767724275589
23	29	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	370	en	0.10834252834320068	0.130412757396698	0.33058610558509827	0.12788474559783936	0.0234773401170969	0.23130199313163757	0.02112731896340847	0.011339226737618446	0.007462702691555023	0.007885370403528214	0.00017999786359723657	0.33058610558509827	Criteria iii	0.23130199313163757	Criteria vi	0.130412757396698	Criteria ii	0.33058610558509827	0.6923008561134338
24	31	With the Lunar New Year of the Ox incoming in less than a month, it is a good time to slow down our thoughts and give ourselves a brief moment for reflection.	395	en	0.045797061175107956	0.011289087124168873	0.12463483959436417	0.06522411853075027	0.01860397309064865	0.09008218348026276	0.321270614862442	0.2671235203742981	0.02668740786612034	0.02862091362476349	0.0006662594387307763	0.321270614862442	Criteria vii	0.2671235203742981	Criteria viii	0.12463483959436417	Criteria iii	0.321270614862442	0.7130289748311043
25	32	It has title of A moment of reflection	395	en	0.11365674436092377	0.04070020094513893	0.19000613689422607	0.11807005107402802	0.009704443626105785	0.3404729962348938	0.05372724309563637	0.09166474640369415	0.012978523969650269	0.026169290766119957	0.002849479904398322	0.3404729962348938	Criteria vi	0.19000613689422607	Criteria iii	0.11807005107402802	Criteria iv	0.3404729962348938	0.6485491842031479
26	33	It has tags of asian, people, b, street, asia, reflection, sepia, water, w, city, administrators, december, bw, mono, garden, humble, chinese, peoples, monochrome, suzhou, photography, republic, black, china, prc, white, jiangsu, peoplesrepublicofchina	395	en	0.011767410673201084	0.1354958862066269	0.5445888638496399	0.09280276298522949	0.049994636327028275	0.14200526475906372	0.005851816851645708	0.002172696404159069	0.0064299278892576694	0.008827333338558674	6.348128954414278e-05	0.5445888638496399	Criteria iii	0.14200526475906372	Criteria vi	0.1354958862066269	Criteria ii	0.5445888638496399	0.8220900148153305
27	34	Suzhou, with its many canals and bridges, is often nicknamed the .Venice of the East	397	en	0.04900065436959267	0.15517738461494446	0.3300606608390808	0.18649664521217346	0.08173687011003494	0.18574826419353485	0.004699803423136473	0.0023678671568632126	0.0022685157600790262	0.002303237793967128	0.00014003590331412852	0.3300606608390808	Criteria iii	0.18649664521217346	Criteria iv	0.18574826419353485	Criteria vi	0.3300606608390808	0.7023055702447891
28	35	(although many other cities often also claim this title as well)	397	en	0.04889976605772972	0.14905187487602234	0.2983812391757965	0.34161198139190674	0.027992762625217438	0.09290020167827606	0.006554210092872381	0.006924524903297424	0.009542141109704971	0.01805855706334114	8.2862883573398e-05	0.34161198139190674	Criteria iv	0.2983812391757965	Criteria iii	0.14905187487602234	Criteria ii	0.34161198139190674	0.7890450954437256
29	36	Being very close to Shanghai has allowed it to become of the fastest growing cities in Mainland China	397	en	0.03467194363474846	0.020095549523830414	0.1005447655916214	0.062495775520801544	0.025790389627218246	0.058221668004989624	0.25261932611465454	0.1068025529384613	0.10151194036006927	0.23657554388046265	0.0006705757114104927	0.25261932611465454	Criteria vii	0.23657554388046265	Criteria x	0.1068025529384613	Criteria viii	0.25261932611465454	0.5959974229335785
30	37	It is also a popular tourist destination with its many UNESCO sites and attractions, such as this one near Tiger Hill.	397	en	0.002824949100613594	0.0005094844382256269	0.0033191207330673933	0.0010649515315890312	0.0008158914279192686	0.00491073215380311	0.900341808795929	0.03495650738477707	0.013360400684177876	0.03783606365323067	6.01008468947839e-05	0.900341808795929	Criteria vii	0.03783606365323067	Criteria x	0.03495650738477707	Criteria viii	0.900341808795929	0.9731343798339367
31	38	It has title of Reflections of Suzhou	397	en	0.10379314422607422	0.06438793241977692	0.19108226895332336	0.06967956572771072	0.008740426041185856	0.5076901912689209	0.03672865405678749	0.006881453096866608	0.0034418373834341764	0.007136037573218346	0.000438437273260206	0.5076901912689209	Criteria vi	0.19108226895332336	Criteria iii	0.10379314422607422	Criteria i	0.5076901912689209	0.8025656044483185
32	39	It has tags of jiangsu, december, building, asia, east, water, city, venice, photography, hill, province, landscape, canal, chinese, peoples, suzhou, river, tiger, house, shanghai, asian, republic, prc, china, peoplesrepublicofchina	397	en	0.01749214343726635	0.13992470502853394	0.4360008239746094	0.19363701343536377	0.09667065739631653	0.08301771432161331	0.006323448847979307	0.004759548231959343	0.011637004092335701	0.010421330109238625	0.00011553481454029679	0.4360008239746094	Criteria iii	0.19363701343536377	Criteria iv	0.13992470502853394	Criteria ii	0.4360008239746094	0.7695625424385071
33	40	It has tags of wpdpeople	399	en	0.0883198007941246	0.053276948630809784	0.33350691199302673	0.12519539892673492	0.022723162546753883	0.06944963335990906	0.12601377069950104	0.07067764550447464	0.05065551772713661	0.05999546870589256	0.00018572430417407304	0.33350691199302673	Criteria iii	0.12601377069950104	Criteria vii	0.12519539892673492	Criteria iv	0.33350691199302673	0.5847160816192627
34	41	The Humble Administrator's Garden in Suzhou is one of four Chinese gardens in Suzhou that have attained UNESCO World Heritage Site status, and the most famous and visited among them	502	en	0.08974283933639526	0.06846247613430023	0.17748083174228668	0.0759066790342331	0.015970537438988686	0.5579586625099182	0.006923256907612085	0.002333071082830429	0.0013557166093960404	0.0034470625687390566	0.000418898620409891	0.5579586625099182	Criteria vi	0.17748083174228668	Criteria iii	0.08974283933639526	Criteria i	0.5579586625099182	0.8251823335886002
