		self	friend	interest	mutual
57210421@N04	57210421@N04	1	1	1	True
57210421@N04	193578629@N05	0	False	0	False
57210421@N04	63829447@N04	0	False	0.02857142857142857	False
57210421@N04	193769199@N05	0	False	0	False
57210421@N04	149416284@N07	0	False	0	False
57210421@N04	193550492@N08	0	False	0	False
57210421@N04	37692771@N07	0	False	0	False
57210421@N04	8308954@N06	0	False	0	False
57210421@N04	44934278@N04	0	False	0	False
57210421@N04	25076731@N05	0	False	0	False
57210421@N04	190996938@N05	0	False	0	False
57210421@N04	167072352@N02	0	False	0	False
57210421@N04	185536361@N03	0	False	0	False
57210421@N04	188745550@N03	0	False	0	False
57210421@N04	186382833@N06	0	False	0	False
57210421@N04	117372933@N07	0	False	0.058823529411764705	False
57210421@N04	168107408@N03	0	False	0	False
57210421@N04	40318098@N05	0	False	0.013888888888888888	False
57210421@N04	185446477@N05	0	False	0	False
57210421@N04	61233856@N00	0	False	0	False
57210421@N04	7138083@N04	0	False	0	False
57210421@N04	30256305@N02	0	False	0	False
57210421@N04	97411860@N07	0	False	0	False
57210421@N04	99701047@N08	0	False	0	False
57210421@N04	151290294@N06	0	False	0	False
57210421@N04	102771077@N06	0	False	0	False
57210421@N04	47061356@N02	0	False	0	False
57210421@N04	120294361@N02	0	False	0.5	True
57210421@N04	155494195@N08	0	False	0	False
57210421@N04	153443196@N06	0	False	0	False
57210421@N04	36899213@N08	0	False	0	False
57210421@N04	44104611@N05	0	False	0	False
57210421@N04	11595106@N03	0	False	0	False
57210421@N04	98402793@N00	0	False	0.007407407407407408	False
57210421@N04	75429645@N05	0	False	0	False
57210421@N04	89442637@N08	0	False	0	False
57210421@N04	158370200@N03	0	False	0	False
57210421@N04	133023063@N04	0	False	0	False
57210421@N04	45527691@N00	0	False	0	False
57210421@N04	11234156@N05	0	False	0	False
57210421@N04	157592834@N04	0	False	0	False
57210421@N04	106649870@N03	0	False	0	False
57210421@N04	53279392@N06	0	False	0	False
57210421@N04	90469716@N00	0	False	0.001597444089456869	False
57210421@N04	55453048@N03	0	False	0	False
57210421@N04	18015995@N07	0	False	0	False
57210421@N04	124528896@N04	0	False	0	False
57210421@N04	104170763@N02	0	False	0.0035587188612099642	False
57210421@N04	30199947@N07	0	False	0	False
57210421@N04	136999683@N06	0	False	0	False
57210421@N04	160461094@N05	0	False	0	False
57210421@N04	91651135@N07	0	False	0	False
57210421@N04	26380940@N03	0	False	0.03125	False
57210421@N04	44910505@N07	0	False	0	False
57210421@N04	49603119@N00	0	False	0	False
57210421@N04	136933004@N08	0	False	0	False
57210421@N04	99911502@N03	0	False	0	False
57210421@N04	7287512@N02	0	False	0	False
57210421@N04	8859561@N08	0	False	0	False
57210421@N04	64977817@N00	0	False	0	False
57210421@N04	32136054@N03	0	False	0.007633587786259542	False
57210421@N04	128337749@N02	0	False	0	False
57210421@N04	10512012@N08	0	False	0	False
57210421@N04	90028379@N00	0	False	0.003703703703703704	False
57210421@N04	127423136@N05	0	False	0	False
57210421@N04	59747042@N04	0	False	0	False
57210421@N04	50741374@N08	0	False	0	False
57210421@N04	58300999@N04	0	False	0	False
57210421@N04	15752424@N05	0	False	0	False
57210421@N04	125170622@N08	0	False	0	False
57210421@N04	61335904@N04	0	False	0	False
57210421@N04	158874384@N02	0	False	0	False
57210421@N04	134107008@N02	0	False	0	False
57210421@N04	28571579@N03	0	False	0.25	True
57210421@N04	145984540@N08	0	False	0	False
57210421@N04	117466885@N06	0	False	0	False
57210421@N04	57551150@N00	0	False	0	False
57210421@N04	100853339@N07	0	False	0	False
57210421@N04	50658691@N04	0	False	0.5	True
57210421@N04	100824081@N06	0	False	0	False
57210421@N04	13325044@N05	0	False	0.06666666666666667	False
57210421@N04	73199446@N00	0	False	0.0034482758620689655	False
57210421@N04	90279016@N08	0	False	0	False
57210421@N04	132466470@N05	0	False	0	False
57210421@N04	98489626@N02	0	False	0.25	True
57210421@N04	95645163@N00	0	False	0	False
57210421@N04	159825286@N03	0	False	0	False
57210421@N04	145351882@N07	0	False	0	False
57210421@N04	142785662@N04	0	False	0	False
