UserId ;Lat;Long;PhotoId;ID ;Name;Nationality;Num;PhotoID;Title;Description;User tags;Time taken;Time posted
30866445  N00;34,435237;35,843922;378083;30866445  N00;Esther Dyson;T;T1;378083;Tripoli (Lebanon) street scene;shopping alley in Tripoli;Lebanon,shopping,market,sunglasses,Tripoli;08/09/2004 13:51;08/09/2004 20:51
30866445  N00;34,436678;35,844236;452228;30866445  N00;Esther Dyson;T;T1;452228;chess players in Tripoli;;Tripoli,Lebanon,April2004,chess players,chess;15/09/2004 16:17;15/09/2004 23:17
30866445  N00;34,435171;35,84415;452229;30866445  N00;Esther Dyson;T;T1;452229;children playing in Tripoli;so much for politics!;Tripoli,Lebanon,April2004,children;15/09/2004 16:17;15/09/2004 23:17
89816840  N00;34,434144;35,844583;550247;89816840  N00;jack unrau;T;T2;550247;tripoli;October 2002.;tripoli,lebanon,city;22/10/2002 07:21;24/09/2004 13:29
15574596  N00;34,426022;35,819601;4043396;15574596  N00;Nick;T;T3;4043396;From Istanbul to Cairo;Sunday down on the beach, Tripoli, Lebanon;lebanon,tripoli;31/01/2005 13:30;31/01/2005 13:30
50878021  N00;34,433858;35,844683;15951117;50878021  N00;David Enders;T;T4;15951117;;Tripoli, Lebanon, from the citadel looking out to the Mediterranean, Mar. 2003;;15/10/2004 19:46;27/05/2005 16:47
50878021  N00;34,434304;35,842677;15960888;50878021  N00;David Enders;T;T4;15960888;;An imam does some housekeeping in Tripoli, Lebanon, Mar. 2003. ;;17/05/2004 20:24;27/05/2005 18:01
50878021  N00;34,434979;35,836718;15960889;50878021  N00;David Enders;T;T4;15960889;;Square in Tripoli, Lebanon, Mar. 2003. ;;17/05/2004 20:27;27/05/2005 18:01
97211123  N00;34,438769;35,844612;38619700;97211123  N00;thriol;T;T5;38619700;Fan shop;Fan shop in Tripoli, Lebanon, June 2005;photo,fan,shop,tripoli,lebanon,trablous;22/06/2005 18:42;30/08/2005 16:56
39034401  N00;34,450854;35,817905;41916860;39034401  N00;Brian Sigafoos;T;T6;41916860;tripoli--trablus0093;;tripoli,lebanon;12/10/2003 07:39;10/09/2005 07:12
39034401  N00;34,452772;35,814685;41917030;39034401  N00;Brian Sigafoos;T;T6;41917030;tripoli--trablus0106;;tripoli,lebanon;12/10/2003 08:02;10/09/2005 07:14
96711552  N00;34,43357;35,842701;62303240;96711552  N00;Mazen Haffar;L;L1;62303240;souk;Tripoli, Lebanon;;11/11/2005 20:43;12/11/2005 02:20
21536074  N00;34,433142;35,844706;89826846;21536074  N00;Hector Abouid;L;L2;89826846;On Citadell in Tripoli;This picture was taken by Peter on the Citadell in Tripoli, Lebanon. It was a sunny day...;Tripoli,Lebanon;19/11/2005 12:31;22/01/2006 19:49
