	image name	category	cat_id	index	UserId 	Lat	Long	PhotoId	ID 	Name	Nationality	Num	PhotoID	Title	Description	User tags	Time taken	Time posted
0	10447040743.jpg	architectural elements	1	10447040743	10880980  N08	34,433248	35,844612	10447040743.0	10880980  N08	Sara Helwe	L	L148	10447040743.0	The Abandoned School	"Photo/editing by me
© Sara Helwe Digital Arts"	old,vintage,school,abandoned,stairs,staircase,grass,creepy	28/01/2013 12:18	23/10/2013 21:07
1	11410917615.jpg	architectural elements	1	11410917615	81483104  N07	34,439701	35,859298	11410917615.0	81483104  N07	Rita Kalindjian	L	L154	11410917615.0	Old Window-Tripoli Lebanon			15/12/2013 12:17	17/12/2013 00:21
2	11410942296.jpg	architectural elements	1	11410942296														
3	11410960914.jpg	architectural elements	1	11410960914	81483104  N07	34,435683	35,842903	11410960914.0	81483104  N07	Rita Kalindjian	L	L154	11410960914.0	DSC_5739Old Window-Tripoli Lebanon			15/12/2013 12:16	17/12/2013 00:23
4	11411050763.jpg	architectural elements	1	11411050763	81483104  N07	34,438464	35,841673	11411050763.0	81483104  N07	Rita Kalindjian	L	L154	11411050763.0	Old Window-Tripoli Lebanon			15/12/2013 12:21	17/12/2013 00:21
5	11411051643.jpg	architectural elements	1	11411051643	81483104  N07	34,438714	35,84189	11411051643.0	81483104  N07	Rita Kalindjian	L	L154	11411051643.0	Old Window-Tripoli Lebanon			15/12/2013 12:18	17/12/2013 00:21
6	12662658623.jpg	architectural elements	1	12662658623	30988225  N05	34,43814	35,8408	12662658623.0	30988225  N05	theodor_bafitos	T	T51	12662658623.0	Back to #unidays #tripoli #lebanon #colorful #windows #architecture #architectureporn #lebanon #lebanese #archdaily #archleb #architect #ig_Lebanon #ig_leb #ig_lebanese #livelovetripoli		instagram app,square,square format,iphoneography	20/02/2014 13:05	20/02/2014 21:05
7	1490891732.jpg	architectural elements	1	1490891732	19992390  N00	34,437841	35,84598	1490891732.0	19992390  N00	pim van den berg	T	T27	1490891732.0	Tripolis, lebanon	entrance of crusader castle	lebanon	20/09/2007 14:24	05/10/2007 15:42
8	14972167107.jpg	architectural elements	1	14972167107	114902154  N05	34,435726	35,851221	14972167107.0	114902154  N05	adam Maa	L	L156	14972167107.0	tripoli lebanon the old city			01/09/2014 03:09	06/09/2014 18:35
9	17386372628.jpg	architectural elements	1	17386372628	34001544  N08	34,434812	35,842497	17386372628.0	34001544  N08	Mr Ulster	T	T178	17386372628.0	20150507 Lebanon P5070176	Grande Mosque. Tripoli, Lebanon.	Lebanon,Tripoli,travel	07/05/2015 10:16	12/05/2015 21:47
10	17386584360.jpg	architectural elements	1	17386584360	34001544  N08	34,43494	35,846309	17386584360.0	34001544  N08	Mr Ulster	T	T178	17386584360.0	20150507 Lebanon P5070177	Curiosity. Tripoli, Lebanon.	Lebanon,Tripoli,street photography,travel	07/05/2015 10:18	12/05/2015 21:47
11	17571859162.jpg	architectural elements	1	17571859162	34001544  N08	34,434476	35,842424	17571859162.0	34001544  N08	Mr Ulster	T	T178	17571859162.0	20150507 Lebanon P5070188	Holy cleansing. Tripoli, Lebanon.	Lebanon,Tripoli,street photography,travel	07/05/2015 10:27	12/05/2015 21:47
12	17574240115.jpg	architectural elements	1	17574240115	34001544  N08	34,435071	35,844184	17574240115.0	34001544  N08	Mr Ulster	T	T178	17574240115.0	20150507 Lebanon P5070141	Steps and stairs. Tripoli, Lebanon.	Lebanon,Tripoli,travel	07/05/2015 09:41	12/05/2015 21:47
13	17719496970.jpg	architectural elements	1	17719496970	30988225  N05	34,450875	35,809383	17719496970.0	30988225  N05	theodor_bafitos	T	T51	17719496970.0	Mamlouk Islamic School . Tripoli . Lebanon #heritage #tripoli #mamlouk #lebaneseheritage #livelovetripoli #bnw_Lebanon #bnw_society #arabictypography #Bw_lebanon #bw #blackandwhite		instagram app,square,square format,iphoneography	20/05/2015 12:35	20/05/2015 19:35
14	1849994347.jpg	architectural elements	1	1849994347	82979127  N00	34,434439	35,842984	1849994347.0	82979127  N00	Etienne Ranc	T	T29	1849994347.0	Tarablos (Tripoli) #8	Decorated entrance to a mosque in Mamelouk style.	lebanon	01/05/2005 00:00	04/11/2007 04:51
15	19110627988.jpg	architectural elements	1	19110627988	30988225  N05	34,436413	35,839407	19110627988.0	30988225  N05	theodor_bafitos	T	T51	19110627988.0	Tall Square . Tripoli . Lebanon #triplearches #livelovetripoli #livelovebeirut #livelovelebanon #architecture #archleb #archleb_oldhouse #archdaily #archilovers #vscocam #tripoli #lebanon #ig_Lebanon #nationalart #proudlylebanese #amazinglebanon #lebanont		instagram app,square,square format,iphoneography	30/06/2015 08:19	30/06/2015 15:19
16	20463097348.jpg	architectural elements	1	20463097348	94957139  N03	34,261114	35,504457	20463097348.0	94957139  N03	Michele Aiello	T	T181	20463097348.0	Tripoli, Lebanon			04/01/2015 13:58	17/08/2015 10:48
17	2062934205.jpg	architectural elements	1	2062934205	70395508  N00	34,448821	35,842895	2062934205.0	70395508  N00	marneri	T	T31	2062934205.0	psyco patterns amplified	tripoli		04/11/2007 14:11	25/11/2007 21:05
18	2376914927.jpg	architectural elements	1	2376914927	96309621  N00	34,433295	35,844625	2376914927.0	96309621  N00	Azlan Hashim	L	L13	2376914927.0	The Citadel, Tripoli	"The entranceof the citadel which leads to asmall courtyar before we actually enter the main citadel.

Location : Tripoli Citadel, Tripoli- Lebanon"	tripoli,lebanon,middle east,citadel,boy,city,fort,fotress	27/03/2008 15:29	31/03/2008 16:09
19	25972748024.jpg	architectural elements	1	25972748024														
20	268452696.jpg	architectural elements	1	268452696	29269574  N00	34,43558	35,846141	268452696.0	29269574  N00	Kat Petersen	T	T10	268452696.0	Top of minaret with moody sky	"Tripoli, Lebanon
27 Nov 2005"	lebanon,libanon,tripoli	13/10/2006 12:11	13/10/2006 11:11
21	268453064.jpg	architectural elements	1	268453064	29269574  N00	34,435773	35,846247	268453064.0	29269574  N00	Kat Petersen	T	T10	268453064.0	Beautiful inlaid stone work	"Tripoli, Lebanon
27 Nov 2005"	lebanon,libanon,tripoli	13/10/2006 12:12	13/10/2006 11:12
22	27428552011.jpg	architectural elements	1	27428552011														
23	27672517086.jpg	architectural elements	1	27672517086														
24	2905507183.jpg	architectural elements	1	2905507183	30988225  N05	34,434626	35,84234	2905507183.0	30988225  N05	theodor_bafitos	T	T51	2905507183.0	Mansouri Mosque- Tripoli-Lebanon		Stones,Yellow,Shadow,Walls,Light,Architecture,Mamelouk,Mansouri,Portrait,Mosque,Tripoli,Lebanon,Old,Historical,Arch,Tourism,Perspective	11/06/2006 10:20	02/10/2008 01:30
25	2905509879.jpg	architectural elements	1	2905509879														
26	2905509961.jpg	architectural elements	1	2905509961	30988225  N05	34,435552	35,844981	2905509961.0	30988225  N05	theodor_bafitos	T	T51	2905509961.0	Arch-Tripoli-Lebanon		Arch,Brown,Tripoli,Old,Shadow,Abattoir,window,Wall,City,Lebanon	14/11/2005 23:07	02/10/2008 01:31
27	2905510835.jpg	architectural elements	1	2905510835	30988225  N05	34,434577	35,842404	2905510835.0	30988225  N05	theodor_bafitos	T	T51	2905510835.0	Mansouri Mosque- Tripoli-Lebanon		Arch,Pool,Court,Mosque,Religious,Stone,Architecture,Fountain,Empty,Historical,Tourism,tripoli,Lebanon,Light,Inside	11/06/2006 10:22	02/10/2008 01:32
28	2905511047.jpg	architectural elements	1	2905511047														
29	2906351222.jpg	architectural elements	1	2906351222														
30	2906351578.jpg	architectural elements	1	2906351578	30988225  N05	34,434867	35,844337	2906351578.0	30988225  N05	theodor_bafitos	T	T51	2906351578.0	Typical House- Mina, tripoli-Lebanon		House,Typical,Traditional,Stair,Light,Shadow,Old,Brick,Architecture,Portrait,Paint,Door,Window,Mina,Tripoli,Lebanon	11/03/2006 12:08	02/10/2008 01:30
