	0	1	inside
0	47954272@N06	58635490@N06	False
1	47954272@N06	40252249@N00	False
2	47954272@N06	39389332@N08	False
3	47954272@N06	95002410@N08	False
4	47954272@N06	55730228@N04	False
5	47954272@N06	16186192@N04	False
6	47954272@N06	102830187@N08	False
7	47954272@N06	36449002@N08	False
8	47954272@N06	48946958@N02	False
9	47954272@N06	65541944@N07	False
10	47954272@N06	54683012@N04	False
11	47954272@N06	69351997@N06	False
12	47954272@N06	14466267@N07	False
13	47954272@N06	75762440@N07	False
14	47954272@N06	128541513@N03	False
15	47954272@N06	41247464@N04	False
16	47954272@N06	50753774@N00	False
17	47954272@N06	63578913@N03	False
18	47954272@N06	84142772@N02	False
19	47954272@N06	52725579@N05	False
20	47954272@N06	62089664@N07	False
21	47954272@N06	66460484@N06	False
22	47954272@N06	33000359@N05	False
23	47954272@N06	47852193@N04	False
24	47954272@N06	15358623@N08	False
25	47954272@N06	44855005@N04	False
26	47954272@N06	47442337@N08	False
27	47954272@N06	120347083@N02	False
28	47954272@N06	67560866@N02	False
29	47954272@N06	60669260@N03	False
30	47954272@N06	52752495@N03	False
31	47954272@N06	149748829@N04	False
32	47954272@N06	65545813@N05	False
33	47954272@N06	31608341@N02	False
34	47954272@N06	37065582@N06	False
35	47954272@N06	38585483@N06	False
36	47954272@N06	66250677@N02	False
37	47954272@N06	64160909@N08	False
38	47954272@N06	53852038@N08	False
39	47954272@N06	10186212@N06	False
40	47954272@N06	44209544@N06	False
41	47954272@N06	27248374@N04	False
42	47954272@N06	57842004@N02	False
43	47954272@N06	64168032@N00	False
44	47954272@N06	57031553@N04	False
45	47954272@N06	33773216@N02	False
46	47954272@N06	108150257@N08	False
47	47954272@N06	31502736@N06	False
48	47954272@N06	28329597@N06	False
49	47954272@N06	86298271@N04	False
50	47954272@N06	67654596@N04	False
51	47954272@N06	37583176@N00	False
52	47954272@N06	37463439@N06	False
53	47954272@N06	13547802@N05	False
54	47954272@N06	120036311@N02	False
55	47954272@N06	7765891@N08	False
56	47954272@N06	33393681@N00	False
57	47954272@N06	62813788@N00	False
58	47954272@N06	125323506@N03	False
59	47954272@N06	25500607@N05	False
60	47954272@N06	79511778@N00	False
61	47954272@N06	21597638@N02	False
62	47954272@N06	52922301@N02	False
63	47954272@N06	26330932@N05	False
64	47954272@N06	53400673@N08	True
65	47954272@N06	56005788@N07	False
66	47954272@N06	140620010@N06	False
67	47954272@N06	66041906@N05	False
68	47954272@N06	76444814@N03	False
69	47954272@N06	44319079@N06	False
70	47954272@N06	51250673@N04	False
71	47954272@N06	53131727@N04	False
72	47954272@N06	26107852@N07	False
73	47954272@N06	60011077@N03	False
74	47954272@N06	53434812@N06	False
75	47954272@N06	97807083@N00	False
76	47954272@N06	27539414@N08	False
77	47954272@N06	63658966@N07	False
78	47954272@N06	24257706@N07	False
79	47954272@N06	99265791@N00	False
80	47954272@N06	51919822@N05	False
81	47954272@N06	35556776@N05	False
82	47954272@N06	38937613@N03	False
83	64148082@N02	131455653@N06	False
84	64148082@N02	44559561@N00	False
85	64148082@N02	43169510@N06	False
86	64148082@N02	8632382@N08	False
87	64148082@N02	35745430@N07	False
88	64148082@N02	24341781@N02	False
89	64148082@N02	60045418@N00	False
90	64148082@N02	79397274@N00	False
91	64148082@N02	75571860@N06	False
92	64148082@N02	28225853@N02	False
93	64148082@N02	23714028@N04	False
94	64148082@N02	66297299@N06	False
95	64148082@N02	50946938@N03	False
96	64148082@N02	75632900@N04	False
97	64148082@N02	149409629@N08	False
98	64148082@N02	9729966@N04	False
99	64148082@N02	45501189@N06	False
100	64148082@N02	191645531@N08	False
101	64148082@N02	118468982@N02	False
102	64148082@N02	40122688@N08	False
103	64148082@N02	25440983@N06	False
104	64148082@N02	55662403@N02	False
105	64148082@N02	54058333@N05	False
106	64148082@N02	35121296@N07	False
107	64148082@N02	37118364@N05	False
108	64148082@N02	97171476@N00	False
109	64148082@N02	52290758@N04	False
110	64148082@N02	96154689@N06	False
111	64148082@N02	56743832@N04	False
112	64148082@N02	158539638@N03	False
113	64148082@N02	53440408@N06	False
114	64148082@N02	98877009@N02	False
115	64148082@N02	46424308@N03	False
116	64148082@N02	27538836@N08	False
117	64148082@N02	56529078@N04	False
118	64148082@N02	66098855@N07	False
119	64148082@N02	76014305@N08	False
120	64148082@N02	33604401@N03	False
121	64148082@N02	169904704@N04	False
122	64148082@N02	36406753@N08	False
123	64148082@N02	159846866@N07	False
124	64148082@N02	62543534@N02	False
125	64148082@N02	10693962@N00	False
126	64148082@N02	66010649@N03	False
127	64148082@N02	98794888@N02	False
128	64148082@N02	52473811@N06	False
129	64148082@N02	37249465@N04	False
130	64148082@N02	90088021@N08	False
131	64148082@N02	74903273@N05	False
132	64148082@N02	128965418@N04	False
133	64148082@N02	21673643@N02	False
134	64148082@N02	26010968@N06	False
135	64148082@N02	36973806@N04	False
136	64148082@N02	43359922@N00	False
137	64148082@N02	99249693@N02	False
138	64148082@N02	32423360@N06	False
139	64148082@N02	36017720@N02	False
140	64148082@N02	8865427@N07	False
141	64148082@N02	84660362@N05	False
142	64148082@N02	61700414@N05	False
143	64148082@N02	97110549@N03	False
144	64148082@N02	154196032@N07	False
145	64148082@N02	114974144@N07	False
146	64148082@N02	116475418@N03	False
147	64148082@N02	22009742@N04	False
148	64148082@N02	63109425@N02	False
149	64148082@N02	26895569@N07	False
150	64148082@N02	38665602@N07	False
151	64148082@N02	107354816@N08	False
152	64148082@N02	42042834@N03	False
153	64148082@N02	85184797@N00	False
154	64148082@N02	32876163@N06	False
155	64148082@N02	58615008@N04	False
156	64148082@N02	138091867@N03	False
157	64148082@N02	52735684@N07	False
158	64148082@N02	156017013@N05	False
159	64148082@N02	96039744@N08	False
160	64148082@N02	75150694@N04	False
161	64148082@N02	86934805@N00	False
162	64148082@N02	130429404@N08	False
163	64148082@N02	7451641@N05	False
164	64148082@N02	27877891@N06	False
165	64148082@N02	65831537@N04	False
166	64148082@N02	146235856@N06	False
167	64148082@N02	95284343@N07	False
168	64148082@N02	49805801@N04	False
169	64148082@N02	24923691@N07	False
170	64148082@N02	90462086@N07	False
171	64148082@N02	22621631@N02	False
172	64148082@N02	132917300@N02	False
173	64148082@N02	90852019@N08	False
174	64148082@N02	53612966@N07	False
175	64148082@N02	16618681@N00	False
176	64148082@N02	32681588@N03	False
177	64148082@N02	52602707@N08	False
178	64148082@N02	21809377@N08	False
179	64148082@N02	156813393@N04	False
180	64148082@N02	57449198@N00	False
181	64148082@N02	127589628@N08	False
182	64148082@N02	8372882@N07	False
183	64148082@N02	121720736@N06	False
184	64148082@N02	128099735@N08	False
185	64148082@N02	49010317@N07	False
186	64148082@N02	88380809@N07	True
187	64148082@N02	49818517@N04	False
188	64148082@N02	67040808@N03	False
189	64148082@N02	37287055@N02	False
190	64148082@N02	36240071@N07	False
191	64148082@N02	92907873@N04	False
192	64148082@N02	35721884@N05	False
193	64148082@N02	69707278@N04	False
194	64148082@N02	46994427@N02	False
195	64148082@N02	184775340@N03	False
196	64148082@N02	53951073@N03	False
197	64148082@N02	69643669@N04	False
198	64148082@N02	83050646@N06	False
199	64148082@N02	157296633@N06	False
200	64148082@N02	128278764@N08	False
201	64148082@N02	11994078@N04	False
202	64148082@N02	134150623@N06	False
203	64148082@N02	18225443@N06	False
204	64148082@N02	89546604@N04	False
205	64148082@N02	22816272@N05	False
206	64148082@N02	33132363@N06	False
207	64148082@N02	47638441@N05	False
208	64148082@N02	90687543@N04	False
209	64148082@N02	13739960@N02	False
210	64148082@N02	130096590@N03	False
211	64148082@N02	58337741@N06	False
212	64148082@N02	66041906@N05	False
213	64148082@N02	76117711@N04	False
214	64148082@N02	66412236@N04	False
215	64148082@N02	31328495@N04	False
216	64148082@N02	79280900@N07	False
217	64148082@N02	52333854@N06	False
218	64148082@N02	72647602@N04	True
219	64148082@N02	68159278@N06	False
220	64148082@N02	7648832@N02	False
221	64148082@N02	14279081@N08	False
222	64148082@N02	137493539@N08	False
223	64148082@N02	50309485@N08	False
224	64148082@N02	17719035@N00	False
225	64148082@N02	11202248@N04	False
226	64148082@N02	54487838@N02	False
227	64148082@N02	93477226@N04	False
228	64148082@N02	113416414@N04	False
229	64148082@N02	66047775@N02	False
230	64148082@N02	25804543@N05	False
231	64148082@N02	190488091@N03	False
232	64148082@N02	17680066@N04	False
233	64148082@N02	22488000@N05	False
234	64148082@N02	96099495@N05	True
235	64148082@N02	7393085@N08	False
236	64148082@N02	100109440@N05	False
237	64148082@N02	35895492@N05	False
238	64148082@N02	28663388@N04	False
239	186704588@N07	51168786@N04	False
240	186704588@N07	142877418@N03	False
241	186704588@N07	190490990@N06	False
242	186704588@N07	31765639@N04	False
243	186704588@N07	127803497@N06	False
244	186704588@N07	128575254@N04	False
245	186704588@N07	152874964@N06	False
246	186704588@N07	76790793@N07	False
247	186704588@N07	7169426@N03	False
248	186704588@N07	189894840@N04	False
249	186704588@N07	15924729@N00	False
250	186704588@N07	141738444@N06	False
251	186704588@N07	128721907@N02	False
252	186704588@N07	185279376@N03	False
253	186704588@N07	110372823@N05	False
254	186704588@N07	71561164@N00	False
255	186704588@N07	149170189@N03	False
256	186704588@N07	146231155@N07	False
257	186704588@N07	91253861@N02	False
258	186704588@N07	135659499@N04	False
259	186704588@N07	142147052@N06	False
260	186704588@N07	56430505@N03	False
261	186704588@N07	138752302@N05	False
262	186704588@N07	187505331@N03	False
263	186704588@N07	7465630@N02	False
264	186704588@N07	40681760@N07	False
265	186704588@N07	164771864@N04	False
266	186704588@N07	134123588@N05	False
267	186704588@N07	98949740@N06	False
268	186704588@N07	130895088@N06	False
