	Source	Target	inside
64	47954272@N06	53400673@N08	True
186	64148082@N02	88380809@N07	True
218	64148082@N02	72647602@N04	True
234	64148082@N02	96099495@N05	True
339	186704588@N07	37472264@N04	True
644	61033692@N00	53478627@N02	True
753	69376724@N06	159883248@N03	True
1123	123016824@N05	130345501@N04	True
1185	123016824@N05	145895983@N08	True
1549	123016824@N05	63181453@N04	True
1561	123016824@N05	52559257@N02	True
1685	123016824@N05	53191561@N03	True
2296	51176312@N07	22576765@N02	True
2793	51176312@N07	98649929@N04	True
2843	51176312@N07	124946035@N02	True
2889	51176312@N07	136016292@N03	True
2926	51176312@N07	53478627@N02	True
3141	52559257@N02	123016824@N05	True
3622	45459399@N08	50879678@N03	True
3849	110066272@N04	138486769@N02	True
4327	138486769@N02	100629421@N07	True
4589	138486769@N02	189709126@N02	True
4605	138486769@N02	110066272@N04	True
4712	138486769@N02	99186974@N00	True
6130	65181591@N06	8897239@N06	True
6135	65181591@N06	50879678@N03	True
6152	65181591@N06	141443760@N06	True
6229	65181591@N06	109170434@N07	True
6240	65181591@N06	142083289@N03	True
6264	65181591@N06	64148082@N02	True
6305	65181591@N06	21656645@N06	True
6322	65181591@N06	125601701@N03	True
6427	65181591@N06	123078035@N05	True
6686	65181591@N06	136016292@N03	True
6692	65181591@N06	46383895@N00	True
6771	65181591@N06	57807042@N08	True
6819	141840400@N04	112273443@N02	True
6840	141840400@N04	125601701@N03	True
7943	159883248@N03	69376724@N06	True
8053	159883248@N03	146090270@N07	True
8112	159883248@N03	138486769@N02	True
8166	194831868@N08	130345501@N04	True
8221	194831868@N08	135924873@N02	True
8360	194831868@N08	157106216@N08	True
8366	194831868@N08	148125504@N04	True
8776	194831868@N08	39685874@N00	True
8888	194831868@N08	192655805@N02	True
10141	125601701@N03	130345501@N04	True
10276	125601701@N03	53191561@N03	True
10400	125601701@N03	92527397@N02	True
10447	125601701@N03	135895861@N02	True
10481	125601701@N03	123016824@N05	True
10492	125601701@N03	98508400@N04	True
10561	125601701@N03	142083289@N03	True
10607	125601701@N03	64148082@N02	True
10819	125601701@N03	10818592@N04	True
10838	125601701@N03	57659712@N02	True
11257	81354599@N00	37472264@N04	True
11419	81354599@N00	97402086@N00	True
11598	61579728@N05	15416816@N05	True
11680	81438595@N00	130345501@N04	True
12343	81438595@N00	38318138@N08	True
12648	29830183@N07	123096458@N03	True
13325	29830183@N07	125601701@N03	True
13749	75422537@N02	138486769@N02	True
14184	33650137@N05	52559257@N02	True
14194	33650137@N05	44544845@N08	True
14614	33650137@N05	87413031@N03	True
14760	33650137@N05	163737578@N08	True
15152	53478627@N02	123096458@N03	True
15167	53478627@N02	33634811@N07	True
15541	53478627@N02	13817902@N00	True
15622	53478627@N02	92527397@N02	True
15701	53478627@N02	112273443@N02	True
15859	53478627@N02	37472264@N04	True
17348	40909620@N06	12189850@N08	True
17943	149556095@N03	123016824@N05	True
18642	135144947@N08	100629421@N07	True
18718	135144947@N08	53400673@N08	True
18844	146487476@N02	112273443@N02	True
18864	146487476@N02	109170434@N07	True
18923	146487476@N02	125601701@N03	True
19026	146487476@N02	190829865@N08	True
19131	146487476@N02	29370225@N03	True
19161	146487476@N02	72647602@N04	True
20061	15416816@N05	61579728@N05	True
20647	190508002@N07	146838317@N05	True
20699	190508002@N07	8012426@N05	True
21341	60199917@N02	94472628@N08	True
21714	47968802@N08	112273443@N02	True
21770	47968802@N08	37472264@N04	True
21855	47968802@N08	125601701@N03	True
22120	47968802@N08	33264177@N05	True
22147	47968802@N08	98649929@N04	True
22167	47968802@N08	51176312@N07	True
22222	47968802@N08	72647602@N04	True
22439	22576765@N02	50879678@N03	True
22605	22576765@N02	61033692@N00	True
22681	22576765@N02	7208148@N02	True
22709	22576765@N02	51176312@N07	True
22951	189709126@N02	141443760@N06	True
22998	189709126@N02	138486769@N02	True
23283	146090270@N07	42152648@N06	True
23386	146090270@N07	130345501@N04	True
23690	146090270@N07	63181453@N04	True
23773	146090270@N07	53191561@N03	True
24054	146090270@N07	125601701@N03	True
24156	125525598@N07	141443760@N06	True
24935	158560594@N07	100629421@N07	True
25099	73338643@N00	22576765@N02	True
26497	130345501@N04	47247560@N03	True
26574	130345501@N04	141443760@N06	True
26655	130345501@N04	151518259@N02	True
26692	130345501@N04	156439445@N03	True
26786	130345501@N04	123016824@N05	True
26825	130345501@N04	81438595@N00	True
26839	130345501@N04	148125504@N04	True
26947	130345501@N04	125601701@N03	True
27020	35096663@N00	37472264@N04	True
28132	14705489@N03	52559257@N02	True
28139	14705489@N03	135924873@N02	True
28269	14705489@N03	157106216@N08	True
28413	14705489@N03	10818592@N04	True
28532	14705489@N03	61033692@N00	True
28568	14705489@N03	47968802@N08	True
28916	14705489@N03	138486769@N02	True
29191	8012426@N05	190508002@N07	True
29381	8012426@N05	39685874@N00	True
29765	23090570@N04	54024589@N03	True
29962	23090570@N04	53191561@N03	True
30000	23090570@N04	47247560@N03	True
30055	23090570@N04	141443760@N06	True
30538	23090570@N04	28820833@N03	True
30546	23090570@N04	125601701@N03	True
30772	72647602@N04	135366503@N05	True
30795	72647602@N04	64148082@N02	True
30844	72647602@N04	88380809@N07	True
31429	10818592@N04	42152648@N06	True
31556	10818592@N04	130345501@N04	True
31999	10818592@N04	63181453@N04	True
32162	10818592@N04	14705489@N03	True
32206	10818592@N04	147153897@N06	True
32263	10818592@N04	23090570@N04	True
33209	136016292@N03	53191561@N03	True
33447	136016292@N03	125601701@N03	True
33455	136016292@N03	100629421@N07	True
33591	136016292@N03	65181591@N06	True
33623	136016292@N03	190829865@N08	True
