	origin	index	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	3	51870743082	Criteria iii	Criteria ii	Criteria iv	0.3580295145511627	0.8306800127029419	Criteria ii	Criteria iv	Criteria i	0.36238763	0.78722566	False	0.5	0.8125729862794437
1	4	51871789478	Criteria iii	Criteria ii	Criteria iv	0.3997543752193451	0.7592166662216187	Criteria ii	Criteria i	Criteria iv	0.6386581	0.8980915	False	0.5	0.5256235541428532
2	5	51870742942	Criteria iii	Criteria ii	Criteria iv	0.3455482125282287	0.8144985884428024	Criteria ii	Criteria i	Criteria iv	0.39635223	0.81284475	False	0.5	0.7562508385331084
3	6	51870380541	Criteria iii	Criteria vi	Criteria iv	0.4709547758102417	0.8652557581663132	Criteria vi	Criteria iii	Criteria iv	0.8239297	0.93094456	False	1.0	0.4621646929915882
4	13	51863124066	Criteria iv	Criteria i	Criteria ii	0.2476913034915924	0.6726742088794708	Criteria vi	Criteria iv	Criteria i	0.3377611	0.87113	False	0.5	0.8536847946293471
5	15	51860573333	Criteria iii	Criteria iv	Criteria vi	0.3923268020153045	0.7847611159086227	Criteria i	Criteria ii	Criteria iv	0.40823418	0.8452781	False	0.2	0.42481268940844996
6	16	51861144440	Criteria iii	Criteria iv	Criteria vi	0.3970013260841369	0.6897412240505219	Criteria i	Criteria ii	Criteria vi	0.30355296	0.735103	False	0.2	0.48154634269924135
7	18	51859439546	Criteria i	Criteria ii	Criteria iv	0.2496638596057891	0.6258912533521652	Criteria vi	Criteria i	Criteria iv	0.68160975	0.8438848	False	0.5	0.5710663055305452
8	19	51858312666	Criteria vi	Criteria iii	Criteria iv	0.3530704975128174	0.7457685768604279	Criteria iii	Criteria iv	Criteria ii	0.53557724	0.880187	False	0.5	0.6732201975635982
9	43	51857714343	Criteria iii	Criteria vi	Criteria iv	0.2883027195930481	0.7018791288137436	Criteria iv	Criteria ii	Criteria vi	0.3804637	0.75135565	False	0.5	0.8455578164216919
10	46	51862639019	Criteria iii	Criteria iv	Criteria ii	0.3184402287006378	0.6803116798400879	Criteria i	Criteria iii	Criteria ii	0.59328765	0.87022644	False	0.5	0.5345283102241323
11	50	51856411639	Criteria iii	Criteria vii	Criteria x	0.2160160690546035	0.5620473474264145	Criteria iii	Criteria i	Criteria iv	0.80986154	0.8741354	True	0.2	0.6171064270132842
12	52	51855730156	Criteria iii	Criteria vi	Criteria iv	0.2934543788433075	0.7474496066570282	Criteria i	Criteria iv	Criteria ii	0.5650424	0.7803875	False	0.2	0.4073520369392855
