	index	sentence	origin	lang
0	0	It has tags of adriaticsea, italy, venice, bridge, water	3	en
1	1	It has tags of adriaticsea, italy, venice	4	en
2	2	It has tags of adriaticsea, italy, venice, water	5	en
3	3	THE KNIGHT WITH A GRIM LOOK   The Carnival of Venice, if not the most grandiose, is certainly the best known for the charm it exerts and the mystery it continues to possess even now that 900 years have passed since the first document that refers to this famous festival	6	en
4	4	Who has never heard of it	6	en
5	5	There are memories of the Carnival festivities since 1094, under the dogate of Vitale Falier, in a document that speaks of public entertainment in the days preceding Lent	6	en
6	6	The official document that declares Carnival a public holiday dates back to 1296 when the Senate of the Republic declared the last day of Lent a holiday	6	en
7	9	EN | ES   🇬🇧 It's almost time for the Venice Carnival	18	en
8	10	Living it was amazing, one of those experiences that you should have at least once in your life	18	en
9	11	Here you can see all the info about the trip I made in 2020 (in Spanish):   🇪🇸 Ya falta poco para el Carnaval de Venecia	18	en
10	12	It has tags of elph, canon, italy, venice, shadow, portico, arch, tonemap	46	en
11	13	It has tags of mariepauledemeyer, venice, italy	60	en
12	14	Rio di Santa Caterina in Cannaregio one of the six sestieri of Venice in Veneto, Italy	74	en
13	15	The Rio de Santa Caterina has a length of 310 m	74	en
14	16	It starts from the Misericordia Canal to the east-southeast and ends in the Rio dei Gesuiti	74	en
15	17	The name comes from the old Church Santa Caterina	74	en
16	18	NOT ONLY THE SQUERO	84	en
17	19	The church is dedicated to the two Milanese martyrs Gervasio and Protasio (hence Trovaso) and was founded in the 9th century	84	en
18	20	As Giuseppe Tassini tells us, the church was built in the early days after the foundation of Venice, and immediately became a parish church	84	en
19	21	It was rebuilt in 1028 by the Barbarigo and Caravella families	84	en
20	22	From its foundation it was subjected to the authorities of the patriarchs of Grado and the bishops of Olivolo	84	en
21	23	Due to various controversies, a compromise was reached in 1041: both prelates would have elected and commanded the vicar of San Trovaso	84	en
22	24	This is an important testimony of the bad relations that existed in the Middle Ages between the Gradense clergy and the Venetian clergy	84	en
23	25	In 1105 the church was renovated	84	en
24	26	It collapsed in 1583 and from 1584 it was rebuilt in seven years	84	en
25	27	Completely renovated starting from 1585 in Palladian forms with a Greek cross plan, on the outside it has the particularity of having two almost identical facades with double facing onto the Rio di Ognissanti and the Rio di San Trovaso	84	en
26	28	It was consecrated in 1657	84	en
27	31	CHIESA DI SAN TROVASO	84	en
28	32	The cloister (1448-1466) of the church of San Michele in Isola, Venice.	85	en
29	33	Taking off from Marco Polo Airport in Venice, Veneto, Italy  Due to the importance of Venice as a leisure destination, it features flights to many European metropolitan areas as well as some partly seasonal long-haul routes to the United States, Canada and the Middle East	87	en
30	34	With 10,371, 380 passengers having passed through the airport in 2017, it remains the fourth busiest airport in Italy in terms of passenger numbers	87	en
31	35	The airport is named after Marco Polo and serves as a base for Volotea and easyJet	87	en
32	36	Another airport located in the Venice area, Treviso Airport, is sometimes unofficially labelled as Venice - Treviso and mostly serves low-cost airlines, mainly Ryanair and Wizz Air	87	en
33	37	A modern terminal was opened in 2002, but it is already at full capacity	87	en
34	38	The airport is managed by SAVE Sp.A., a company partially owned by local authorities which also controls the smaller Treviso Airport, dedicated mainly to low-cost carriers	87	en
35	39	The airport was named after the Venetian traveller Marco Polo, whose book introduced Central Asia and China to Europeans	87	en
36	40	Cannaregio one of the six sestieri of Venice in Veneto, Italy	88	en
37	41	Cannaregio is the northernmost of the six historic sestieri (districts) of Venice	88	en
38	42	It is the second largest sestiere by land area and the largest by population, with 13,169 people as of 2007	88	en
39	43	Isola di San Michele, the historic cemetery island, is associated with the district	88	en
40	44	The Cannaregio Canal, which was the main route into the city until the construction of a railway link to the mainland, gave the district its name (Canal Regio is Italian for Royal Canal)	88	en
41	45	Development began in the eleventh century as the area was drained and parallel canals were dredged	88	en
42	46	Although elegant palazzos were built facing the Grand Canal, the area grew primarily with working class housing and manufacturing	88	en
43	47	Beginning in 1516, Jews were restricted to living in the Venetian Ghetto	88	en
44	48	It was enclosed by guarded gates and no one could leave from sunset to dawn	88	en
45	49	However, Jews held successful positions in the city such as merchants, physicians, money lenders, and other trades	88	en
46	50	Restrictions on daily Jewish life continued for more than 270 years, until Napoleon Bonaparte conquered the Venetian Republic in 1797	88	en
47	51	He removed the gates and gave all residents the freedom to live where they chose	88	en
48	52	In the 19th century, civil engineers built a street named Strada Nuova through Cannaregio, and a railway bridge and road bridge were constructed to connect Venice directly to Mestre	88	en
49	53	Today, the areas of the district along the Grand Canal from the train station to the Rialto Bridge are packed with tourists, but the rest of Cannaregio is residential and relatively peaceful, with morning markets, neighbourhood shops, and small cafés	88	en
50	54	It has title of Grand Canal	100	en
51	55	Bridge of Sighs	109	en
52	58	It has tags of italy, venice	109	en
53	59	It has tags of venise, nikon, d, venezia, nopeople, outdoors, water, architecture, sky, refection	113	en
54	60	- Textured with my own textur - - Zoom it, please -	121	en
55	61	It has title of Venedig - Venecia - Venice - Old town	121	en
56	62	Chiesa delle Cappuccine (Capuchin Church) in Cannaregio one of the six sestieri of Venice in Veneto, Italy	126	en
57	63	The land on which the church was later erected was initially granted in 1612 to a group of Capuchin nuns, who two years later began the construction of the church, dedicated to the Madonna and St Francis, with an adjoining small convent and a vegetable garden that reached up to at the edge of the lagoon	126	en
58	64	The building was consecrated in 1623	126	en
59	65	With the Napoleonic edict of 1811 which established the suppression of religious orders, the convent was closed and later demolished to make way for a school building	126	en
60	66	The church, on the other hand, remained open to worship, becoming a branch first of the parish of the Madonna dell'Orto and then of that of San Girolamo, when in 1952 the latter church was reopened for worship	126	en
