	index	sentence	origin	lang	max_1_col_ulmfit	max_2_col_ulmfit	max_3_col_ulmfit	max_1_ulmfit	max_3_ulmfit	max_1_col_bert	max_2_col_bert	max_3_col_bert	max_1_bert	max_3_bert	same_1	same_3	cosine_sim
0	0	It has tags of adriaticsea, italy, venice, bridge, water	3	en	Criteria iii	Criteria ii	Criteria iv	0.3580295145511627	0.8306800127029419	Criteria ii	Criteria iv	Criteria i	0.36238763	0.78722566	False	0.5	0.8125729862794437
1	1	It has tags of adriaticsea, italy, venice	4	en	Criteria iii	Criteria ii	Criteria iv	0.3997543752193451	0.7592166662216187	Criteria ii	Criteria i	Criteria iv	0.6386581	0.8980915	False	0.5	0.5256235541428532
2	2	It has tags of adriaticsea, italy, venice, water	5	en	Criteria iii	Criteria ii	Criteria iv	0.3455482125282287	0.8144985884428024	Criteria ii	Criteria i	Criteria iv	0.39635223	0.81284475	False	0.5	0.7562508385331084
3	3	THE KNIGHT WITH A GRIM LOOK   The Carnival of Venice, if not the most grandiose, is certainly the best known for the charm it exerts and the mystery it continues to possess even now that 900 years have passed since the first document that refers to this famous festival	6	en	Criteria iii	Criteria iv	Criteria vi	0.3485012948513031	0.7155283540487289	Criteria vi	Criteria i	Criteria iii	0.42402664	0.84387654	False	0.5	0.6453156165393944
4	4	Who has never heard of it	6	en	Criteria vi	Criteria iii	Criteria ii	0.7744152545928955	0.9445720836520196	Criteria i	Criteria iii	Criteria vi	0.33913952	0.7090998	False	0.5	0.3177772281840619
5	5	There are memories of the Carnival festivities since 1094, under the dogate of Vitale Falier, in a document that speaks of public entertainment in the days preceding Lent	6	en	Criteria iii	Criteria vi	Criteria iv	0.4362636804580688	0.9174035042524338	Criteria iii	Criteria vi	Criteria iv	0.6284084	0.8982304	True	1.0	0.9113697867896032
6	6	The official document that declares Carnival a public holiday dates back to 1296 when the Senate of the Republic declared the last day of Lent a holiday	6	en	Criteria iii	Criteria iv	Criteria vi	0.383280485868454	0.8964639157056808	Criteria vi	Criteria iv	Criteria iii	0.7729683	0.91461873	False	1.0	0.5280626111385709
7	9	EN | ES   🇬🇧 It's almost time for the Venice Carnival	18	en	Criteria vi	Criteria i	Criteria iv	0.3301954865455627	0.6588499546051025	Criteria vi	Criteria i	Criteria iv	0.686054	0.86624086	True	1.0	0.855538869124857
8	10	Living it was amazing, one of those experiences that you should have at least once in your life	18	en	Criteria vi	Criteria i	Criteria ii	0.2949867844581604	0.6657473295927048	Criteria vi	Criteria vii	Criteria iv	0.32556495	0.63602966	True	0.2	0.8858158558130519
9	11	Here you can see all the info about the trip I made in 2020 (in Spanish):   🇪🇸 Ya falta poco para el Carnaval de Venecia	18	en	Criteria i	Criteria iv	Criteria iii	0.250834584236145	0.6911230832338333	Criteria vi	Criteria iii	Criteria i	0.32695186	0.58867073	False	0.5	0.7432311087915239
10	12	It has tags of elph, canon, italy, venice, shadow, portico, arch, tonemap	46	en	Criteria iii	Criteria iv	Criteria ii	0.4627763032913208	0.7632817029953003	Criteria i	Criteria ii	Criteria iii	0.6432471	0.8888796	False	0.5	0.2941080108559605
11	13	It has tags of mariepauledemeyer, venice, italy	60	en	Criteria iii	Criteria iv	Criteria ii	0.4193885326385498	0.7306554466485977	Criteria i	Criteria ii	Criteria iii	0.5992595	0.8702997	False	0.5	0.4080726756615182
12	14	Rio di Santa Caterina in Cannaregio one of the six sestieri of Venice in Veneto, Italy	74	en	Criteria vi	Criteria i	Criteria iii	0.2894105315208435	0.6419124156236649	Criteria i	Criteria vi	Criteria iv	0.58185047	0.8259124	False	0.5	0.7312091123256292
13	15	The Rio de Santa Caterina has a length of 310 m	74	en	Criteria viii	Criteria vii	Criteria ix	0.42778280377388	0.8887031972408295	Criteria vii	Criteria x	Criteria viii	0.76162034	0.88094103	False	0.5	0.7523364740842768
14	16	It starts from the Misericordia Canal to the east-southeast and ends in the Rio dei Gesuiti	74	en	Criteria ii	Criteria iii	Criteria iv	0.2368280589580536	0.5839293450117111	Criteria vii	Criteria ix	Criteria viii	0.634918	0.8939363	False	0.0	0.10518165568849393
15	17	The name comes from the old Church Santa Caterina	74	en	Criteria vi	Criteria iii	Criteria iv	0.32652747631073	0.7818206399679184	Criteria iv	Criteria i	Criteria iii	0.64950293	0.8318705	False	0.5	0.5032800017140737
16	18	NOT ONLY THE SQUERO	84	en	Criteria viii	Criteria x	Criteria vii	0.4985294342041015	0.8508795648813248	Criteria vi	Criteria iv	Criteria i	0.22954173	0.62256813	False	0.0	0.09480704055337968
